,ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher
0,034545104X,Flesh Tones: A Novel,M. J. Rose,2002,Ballantine Books
25,0446520802,The Notebook,Nicholas Sparks,1996,Warner Books
72,038550120X,A Painted House,JOHN GRISHAM,2001,Doubleday
143,0425115801,Lightning,Dean R. Koontz,1996,Berkley Publishing Group
182,0449006522,Manhattan Hunt Club,JOHN SAUL,2002,Ballantine Books
230,0553561618,Dark Paradise,TAMI HOAG,1994,Bantam
270,055356451X,Night Sins,TAMI HOAG,1995,Bantam
320,0786013990,At the Edge,David Dun,2002,Pinnacle Books
322,0060517794,Little Altars Everywhere,Rebecca Wells,2003,HarperTorch
350,0451192001,How Stella Got Her Groove Back,Terry McMillan,1997,Signet Book
367,0609801279,The Law of Love,Laura Esquivel,1997,Three Rivers Press (CA)
374,0671537458,Waiting to Exhale,Terry McMillan,1995,Pocket
390,0679776818,Birdsong: A Novel of Love and War,Sebastian Faulks,1997,Vintage Books USA
408,3596218098,Reise nach Ixtlan. Die Lehre des Don Juan.,Carlos Castaneda,1998,"Fischer (Tb.), Frankfurt"
409,0684867621,The Girl Who Loved Tom Gordon : A Novel,Stephen King,1999,Scribner
461,0451166892,The Pillars of the Earth,Ken Follett,1996,Signet Book
536,034544003X,Southampton Row (Charlotte &amp; Thomas Pitt Novels (Hardcover)),Anne Perry,2002,Ballantine Books
540,0380711524,See Jane Run,Joy Fielding,1992,Avon
555,0451167317,The Dark Half,Stephen King,1994,Signet Book
621,3442424216,"Ich, Prinzessin aus dem Hause Al Saud. Ein Leben hinter tausend Schleiern.",Jean P. Sasson,1994,Goldmann
623,3453092007,Die zweite Haut.,Dean Koontz,1995,Heyne
626,0140279091,Saving Private Ryan,Max Allan Collins,1998,Penguin Books Ltd
628,0553572369,Pay Dirt (Mrs. Murphy Mysteries (Paperback)),RITA MAE BROWN,1996,Bantam
636,0571058086,Waiting for Godot,Samuel Beckett,0,Faber Faber Inc
639,3499230933,Adressat unbekannt.,Kathrine Kressmann Taylor,2002,Rowohlt Tb.
645,3442136644,Endlich Nichtraucher.,Allen Carr,1992,Goldmann
647,0345443683,"Blackwood Farm (Rice, Anne, Vampire Chronicles.)",ANNE RICE,2003,Ballantine Books
667,043935806X,Harry Potter and the Order of the Phoenix (Book 5),J. K. Rowling,2003,Scholastic
854,055310666X,False Memory,Dean R. Koontz,1999,Bantam Books
867,0330332775,Bridget Jones's Diary,Helen Fielding,1997,Picador (UK)
934,3423084049,Der Englishche Patient,Michael Ondaatje,0,Deutscher Taschenbuch Verlag (DTV)
940,3446202102,Der GeschichtenverkÃ?Â¤ufer.,Jostein Gaarder,2002,Hanser Belletristik
942,349915398X,Hasenherz. Roman.,John Updike,1976,Rowohlt Tb.
944,3548603203,Artemis Fowl.,Eoin Colfer,2003,Ullstein TB-Vlg
953,0061054143,The X-Files: Goblins,Charles Grant,1994,HarperEntertainment
961,0061054151,Whirlwind (The X-Files),Charles Grant,1995,HarperEntertainment
978,0061056774,The X-Files: Ground Zero,Kevin J. Anderson,1996,HarperEntertainment
990,0671021346,"Blooded (Buffy the Vampire Slayer, Book 5)",Christopher Golden,1998,Simon Spotlight Entertainment
991,0671024108,Speaking in Tongues,Jeffery Deaver,2002,Pocket
1016,0064405176,Walk Two Moons,Sharon Creech,1996,HarperTrophy
1039,0439104769,Bloomability,Sharon Creech,0,Scholastic Inc
1042,0440498058,A Wrinkle In Time,MADELEINE L'ENGLE,1998,Yearling
1117,0440414121,The Watsons Go to Birmingham - 1963 (Yearling Newbery),CHRISTOPHER PAUL CURTIS,1997,Yearling
1123,8426449476,El Diaro De Bridget Jones,Helen Fielding,1996,Lumen Espana
1128,0812571029,Uther (Camulod Chronicles),Jack Whyte,2001,Tor Books
1131,0671749609,PERFUME : PERFUME,Patrick Suskind,1991,Washington Square Press
1142,0140062718,The Rebel Angels,Robertson Davies,1983,Penguin Books
1150,0060096195,The Boy Next Door,Meggin Cabot,2002,Avon Trade
1196,0141310340,Skin and Other Stories (Now in Speak!),Roald Dahl,2002,Puffin Books
1200,0375821813,Hoot (Newbery Honor Book),CARL HIAASEN,2002,Knopf Books for Young Readers
