,User-ID,Location,Age
0,2313,"cincinnati, ohio, usa",23
16,8680,"st. charles county, missouri, usa",2
27,10314,"beaverton, oregon, usa",
84,50403,"conway, arkansas, usa",
85,63970,"springfield, missouri, usa",
87,77480,"gig harbor, washington, usa",51
149,94362,"northridge, california, usa",39
156,98391,"morrow, georgia, usa",52
2320,112199,"union, kentucky, usa",72
2329,115435,"cincinnati, ohio, usa",30
2406,128045,"clearwater, florida, usa",41
2419,128276,"los angeles, ,",
2428,188513,"brookfield, wisconsin, usa",44
2447,208406,"kansas city, missouri, usa",30
2533,210597,"lake winnebago, missouri, usa",38
2557,214011,"new castle, new hampshire, usa",
2560,220502,"dedham, massachusetts, usa",
2562,227886,"charlotte, north carolina, usa",1
2566,240144,"muskego, wisconsin, usa",34
2685,243142,"westerville, ohio, usa",51
2693,244420,"kenmore, ,",
2741,257492,"san diego, ,",
2756,260897,"chicago, illinois, usa",25
2808,263003,"philadelphia, pennsylvania, usa",54
2810,274925,"enfield, connecticut, usa",
2818,7158,"omaha, nebraska, usa",30
2864,8253,"tulsa, oklahoma, usa",26
2924,11676,"n/a, n/a, n/a",
7518,12589,"lincoln, nebraska, usa",
7520,13279,"moodus, connecticut, usa",
7533,19371,"royal oak, michigan, usa",52
7537,23768,"st. louis, missouri, usa",45
7636,24878,"ottawa, ontario, canada",
7646,26525,"mountain view, california, usa",56
7648,27617,"beaverton, ontario, canada",32
7686,30261,"manchester, missouri, usa",27
7699,30711,"sydney, new south wales, australia",32
7783,35845,"rochester, new hampshire, usa",
7791,63507,"lomita, california, usa",
7802,64679,"buffalo grove, illinois, usa",
7816,85993,"portland, oregon, usa",40
7870,91761,"minneapolis, minnesota, usa",
7884,99720,"dahlonega, georgia, usa",
7913,131993,"mobile, alabama, usa",
7915,132792,"west seneca, new york, usa",
7917,139064,"wylie, texas, usa",
7920,141444,"west springfield, massachusetts,",
8005,152376,"boston, massachusetts, usa",38
8007,153718,"round lake, illinois, usa",27
8074,154992,"maryland heights, missouri, usa",40
8112,158295,"cleveland, ohio, usa",
8520,167812,"vancouver, washington, usa",38
8554,169699,"vadnais heights, minnesota, usa",40
8587,169784,"cincinnati, ohio, usa",52
8591,170902,"austin, texas, usa",
8592,172539,"lakewood, california, usa",
8605,181687,"austin, texas, usa",29
8666,185233,"winnemucca, nevada, usa",31
8927,187863,"greenwood, south carolina, usa",33
8957,190374,"kamloops, british columbia, canada",38
8978,192095,"madison, wisconsin, usa",50
8983,200226,"burlington, ontario, canada",39
9150,201036,"virginia beach, virginia, usa",
9163,208671,"simi valley, california, usa",
9254,218875,"wilkes-barre, pennsylvania, usa",28
9263,239135,"mobile, alabama, usa",39
9266,240756,"guyton, georgia, usa",41
9292,245568,"springport, michigan, usa",
9310,248477,"dandridge, tennessee, usa",17
9377,265383,"awendaw, south carolina, usa",
9385,268540,"st. louis, missouri, usa",19
9403,268751,"sheboygan, wisconsin, usa",34
9433,16877,"houston, arkansas, usa",37
9442,17975,"fargo, north dakota, usa",
9443,20806,"union, kentucky, usa",
9447,21340,"holton, kansas, usa",45
9451,21356,"westwood, new jersey, usa",56
9475,22625,"lynbrook, new york, usa",54
9555,23243,"colstrip, montana, usa",
9557,29168,"beacon, new york, usa",
9562,31315,"henryville, indiana, usa",34
9800,32188,"st. louis, missouri, usa",51
9812,33974,"barnhart, missouri, usa",24
9854,34588,"west linn, oregon, usa",
9898,37800,"rackerby, california, usa",63
9900,53220,"fullerton, california, usa",36
10006,53614,"barreiro, barreiro, portugal",30
10041,60337,"st. marys, georgia, usa",50
10103,64436,"san ramon, california, usa",36
10143,75819,"west falls, new york, usa",
10210,76151,"sioux falls, south dakota, usa",49
10384,76351,"clarksville, tennessee, usa",34
10397,76851,"saginaw, michigan, usa",31
10398,97919,"howell, michigan, usa",63
10400,98168,"racine, ,",
10403,100471,"new albany, indiana, usa",39
10410,100846,"plainfield, illinois, usa",39
10478,101226,"corsicana, texas, usa",59
10481,104051,"vacaville, california, usa",29
10492,109180,"huntington beach, california,",60
10497,111174,"austin, texas, usa",
10540,111358,"cameron, west virginia, usa",69
10545,113425,"chicago, illinois, usa",47
10547,114368,"mechanicsville, maryland, usa",33
11052,115003,"asheville, north carolina, usa",43
11169,116904,"san antonio, texas, usa",38
11198,125519,"irvine, california, usa",40
11279,130571,"summerville, south carolina, usa",
11392,136439,"palm bay, florida, usa",36
11395,140358,"san diego, california, usa",
11572,141719,"houston, texas, usa",
11588,145641,"madison, new jersey, usa",
11632,147224,"mechanicsburg, pennsylvania, usa",41
11664,149069,"struthers, ohio, usa",30
11708,151819,"surfside beach, south carolina, usa",
11709,152354,"boston, massachusetts, usa",
11723,172881,"demopolis, alabama, usa",39
11726,178006,"ottumwa, iowa, usa",
11728,187256,"citrus heights, california, usa",
11827,187621,"leidschendam, zuid-holland, netherlands",39
11832,193778,"dallas, georgia, usa",
11903,197206,"virginia beach, virginia, usa",
11922,198213,"williamsburg/norfolk, virginia, usa",19
11940,200422,"plainfield, illinois, usa",29
11964,203506,"rye brook, new york, usa",18
11976,210485,"carmichael, california, usa",35
12127,212568,"huntington beach, california, usa",
12141,213379,"novato, california, usa",
12144,215988,"lake oswego, oregon, usa",42
12194,218615,"snoqualmie, washington, usa",
12208,235146,"oak park, illinois, usa",39
12225,240643,"niceville, florida, usa",
12247,245901,"dixon, ,",
12248,251164,"trabuco canyon, california, usa",59
12277,252820,"montreal, quebec, canada",33
12358,253780,"fredericton, new brunswick,",25
12362,254053,"hackettstown, new jersey, usa",27
12376,258334,"pinckney, michigan, usa",31
12379,259259,"woodruff, south carolina, usa",30
12404,259629,"carrollton, texas, usa",51
12469,265202,"manchester, vermont, usa",38
12475,2288,"spring hill, tennessee, usa",30
12486,4938,"charleston, south carolina, usa",30
12502,9856,"glendale, colorado, usa",22
12549,13552,"cordova, tennessee, usa",32
12746,16795,"mechanicsville, maryland, usa",47
13370,25545,"hollsopple, pennsylvania, usa",33
13381,25981,"nj, new jersey, usa",
13558,29763,"bourbonnais, illinois, usa",56
13561,31826,"jasper, missouri, usa",54
13766,48025,"concordia, missouri, usa",43
13877,55789,"pittsburgh, pennsylvania, usa",35
13888,58224,"lake park, georgia, usa",
13900,68185,"virginia beach, virginia, usa",22
13945,92658,"burlington, washington, usa",39
13953,101620,"brookland, arkansas, usa",
13983,107784,"tarentum, pennsylvania, usa",
14249,121072,"sunnyvale, california, usa",63
14251,124474,"canon city, colorado, usa",53
14260,128404,"fall river, massachusetts, usa",30
14263,133738,"indianapolis, indiana, usa",28
14275,135045,"spring, texas, usa",29
14336,152099,"wickenburg, arizona, usa",14
14375,154944,"colony, kansas, usa",33
14398,168064,"fredericton, new brunswick, canada",
14444,171968,"irving, texas, usa",23
14466,175978,"somewhere, new jersey, usa",27
14484,184299,"omaha, nebraska, usa",31
14589,185722,"long beach, california, usa",24
14618,186521,"enfield, nova scotia, canada",21
14621,212427,"narragansett, rhode island, usa",
14631,216683,"san jose, california, usa",
14798,224146,"sarnia, ontario, canada",35
14815,235684,"miami, florida, usa",26
14824,246000,"saratoga, california, usa",20
14837,250016,"houston, texas, usa",17
14839,257024,"houston, ,",38
14861,260699,"toledo, ohio, usa",42
14879,278026,"east orange, new jersey, usa",56
14918,243,"arden hills, minnesota, usa",
14935,16106,"albany, california, usa",44
14984,22045,"sacramento, california, usa",
15002,23459,"knowlesville, new brunswick, canada",
15010,23511,"chapel hill, north carolina, usa",56
15034,26406,"houston, texas, usa",
15038,28222,"san diego, california, usa",23
15048,30029,"simi valley, california, usa",37
15067,33570,"ferguson, missouri, usa",
15072,38660,"ottawa, ontario, canada",40
15100,40937,"sacramento, california, usa",42
15101,53575,"watkins glen, new york, usa",30
15110,54925,"san francisco, california, usa",
15111,58319,"san diego, ,",
15115,61216,"bettendorf, iowa, usa",
15123,85848,"ottawa, ontario, canada",
15124,92810,"manistee, michigan, usa",60
15225,94132,"marathon, florida, usa",
15229,114577,"st. louis, missouri, usa",
15231,114662,"florenceville, new brunswick, canada",
15237,115998,"torrington, connecticut, usa",49
15246,119631,"madison, wisconsin, usa",46
15258,129489,"vancouver, british columbia, canada",24
15283,146229,"burson, california, usa",52
15286,151643,"burtchville twp., michigan, usa",
15291,161765,"wimberley, texas, usa",26
15293,163690,"mason, ohio, usa",31
15296,169181,"trinity center, california, usa",53
15300,182831,"groves, texas, usa",54
15302,187517,"brooklyn, new york, usa",28
15415,192914,"cobourg, ontario, canada",
15421,193458,"toronto, ontario, canada",40
15487,207249,"memphis, tennessee, usa",59
15490,208829,"fredericton, new brunswick, canada",
15561,213664,"tampa, florida, usa",
15568,219683,"santa ana, california, usa",32
15702,225199,"toronto, ontario, canada",54
15804,231252,"woodstock, ,",
15809,232945,"newport, rhode island, usa",28
15898,256882,"burlingame, california, usa",
15902,260967,"ewa beach, hawaii, usa",
15908,268315,"littleton, colorado, usa",
15915,276038,"oklahoma city, oklahoma, usa",27
15928,1660,"fort worth, texas, usa",
15935,12824,"long beach, california, usa",18
15983,23872,"tulsa, oklahoma, usa",22
16141,26620,"napa, california,",
16167,31892,"knoxville, tennessee, usa",
16170,42292,"apopka, florida, usa",61
16172,48046,"central sq., new york, usa",
16214,52472,"frisco/dallas, texas, usa",209
16220,55892,"plantersville, texas, usa",45
16285,70052,"st. john`s, ontario, canada",30
16326,70415,"crescent city, florida, usa",57
16410,76102,"buckfield, maine, usa",33
16427,78973,"amadora, lisboa, portugal",29
16685,84795,"alpharetta, ,",
16731,110373,"livingston, new jersey, usa",
16775,117553,"gaithersburg, maryland, usa",
16781,143837,"san antonio, texas, usa",28
16802,144478,"galveston, texas, usa",39
16826,146207,"lubbock, texas, usa",36
16836,154469,"trois-rivières ouest, quebec, canada",
16897,179718,"leroy, ,",39
16999,182085,"ginsheim, hessen, germany",
17310,196468,"houston, texas, usa",57
17313,201969,"vancouver, british columbia, canada",
17376,207349,"seadrift, texas, usa",25
17438,213523,"brookville, pennsylvania, usa",
17475,217318,"sackville, new brunswick, canada",
17596,220597,"toronto, ontario, canada",26
17653,238419,"lapeer, michigan, usa",
17669,238889,"clark fork, idaho, usa",33
17719,242477,"boise, idaho, usa",
17723,247910,"lexington, kentucky,",28
17725,251843,"homer city, pennsylvania, usa",
17856,252347,"springfield, virginia, usa",52
17890,255699,"everett, washington, usa",23
17892,496,"west salem, wisconsin, usa",51
17894,17859,"roanoke, virginia, usa",43
17915,26516,"victor, montana, usa",67
17936,30972,"columbiana, alabama, usa",47
17978,36748,"galloway, new jersey, usa",28
17981,72636,"north richland hills, texas, usa",
17991,87712,"yarmouth, nova scotia, canada",19
18041,93179,"san diego, california, usa",
18090,95049,"alverca, ribatejo, portugal",25
18092,112845,"fort langley, british columbia, canada",
18106,113270,"evanston, illinois, usa",25
18190,120030,"spirit lake, iowa, usa",
18196,126736,"fulton, missouri, usa",38
18284,137688,"medford, new york, usa",46
18349,144619,"albany, oregon, usa",
18366,148590,"thunder bay, ontario, canada",49
18389,148680,"tampa, florida, usa",
18393,152186,"windsor, ontario, canada",33
18457,157247,"deventer, overijssel, netherlands",48
18550,159639,"farmingdale, new york, usa",
18552,167811,"ladson, south carolina, usa",
18553,173481,"arlington, texas, usa",69
18586,186841,"pelham, alabama, usa",32
18589,190459,"schertz, texas, usa",40
18605,196891,"quinton,, virginia, usa",63
18622,207971,"greenville, florida, usa",53
18635,208382,"fontana, california, usa",53
18652,208568,"fontana, california, usa",
18673,223326,"climax springs, missouri, usa",30
18678,225087,"toronto, ontario, canada",51
18870,225449,"goodyear, arizona, usa",57
18880,245534,"toronto, ontario, canada",
18897,247664,"london, ontario, canada",
18909,247752,"wake forest, north carolina, usa",30
18949,254144,"collinsville, texas, usa",23
18970,258185,"livermore, maine, usa",37
19152,258270,"fpo, ap, okinawa, japan",
19192,258884,"belvidere, illinois, usa",
