,ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher
0,0446520802,The Notebook,Nicholas Sparks,1996,Warner Books
43,038550120X,A Painted House,JOHN GRISHAM,2001,Doubleday
104,0425115801,Lightning,Dean R. Koontz,1996,Berkley Publishing Group
140,0449006522,Manhattan Hunt Club,JOHN SAUL,2002,Ballantine Books
181,0553561618,Dark Paradise,TAMI HOAG,1994,Bantam
218,055356451X,Night Sins,TAMI HOAG,1995,Bantam
260,0684867621,The Girl Who Loved Tom Gordon : A Novel,Stephen King,1999,Scribner
306,0451166892,The Pillars of the Earth,Ken Follett,1996,Signet Book
370,0451167317,The Dark Half,Stephen King,1994,Signet Book
431,043935806X,Harry Potter and the Order of the Phoenix (Book 5),J. K. Rowling,2003,Scholastic
609,0330332775,Bridget Jones's Diary,Helen Fielding,1997,Picador (UK)
669,0440498058,A Wrinkle In Time,MADELEINE L'ENGLE,1998,Yearling
733,0060096195,The Boy Next Door,Meggin Cabot,2002,Avon Trade
774,0786817070,"Artemis Fowl (Artemis Fowl, Book 1)",Eoin Colfer,2002,Miramax Kids
839,0316781266,The Last Time They Met : A Novel,Anita Shreve,2002,Back Bay Books
900,0345446860,Back When We Were Grownups : A Novel (Ballantine Reader's Circle),ANNE TYLER,2002,Ballantine Books
945,0446364193,Along Came a Spider (Alex Cross Novels),James Patterson,1993,Warner Books
1039,0440241537,The King of Torts,JOHN GRISHAM,2003,Dell
1112,002542730X,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times,James Finn Garner,1994,John Wiley &amp; Sons Inc
1181,0316666343,The Lovely Bones: A Novel,Alice Sebold,2002,"Little, Brown"
1664,0385504209,The Da Vinci Code,Dan Brown,2003,Doubleday
2033,0804106304,The Joy Luck Club,Amy Tan,1994,Prentice Hall (K-12)
2193,0971880107,Wild Animus,Rich Shapero,2004,Too Far
2528,0439064864,Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling,1999,Scholastic
2645,059035342X,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),J. K. Rowling,1999,Arthur A. Levine Books
2900,0446310786,To Kill a Mockingbird,Harper Lee,1988,Little Brown &amp; Company
3063,0312966970,Four To Score (A Stephanie Plum Novel),Janet Evanovich,1999,St. Martin's Paperbacks
3158,0425172546,Southern Cross,Patricia Daniels Cornwell,1999,Berkley Publishing Group
3205,0440220602,The Chamber,John Grisham,1995,Dell Publishing Company
3322,0375760911,The Idiot Girls' Action Adventure Club,Laurie Notaro,2002,Villard Books
3365,0671793489,All Around the Town,Mary Higgins Clark,1993,Pocket Star
3410,0671011367,Deja Dead,Kathy Reichs,1998,Pocket
3455,0812511816,"The Eye of the World (The Wheel of Time, Book 1)",Robert Jordan,1990,Tor Fantasy
3502,0061097101,The Saving Graces: A Novel,Patricia Gaffney,2000,HarperTorch
3563,0312983271,Full House (Janet Evanovich's Full Series),Janet Evanovich,2002,St. Martin's Paperbacks
3651,0380731851,Mystic River,Dennis Lehane,2002,HarperTorch
3737,0446605484,Roses Are Red (Alex Cross Novels),James Patterson,2001,Warner Vision
3805,0446611212,Violets Are Blue,James Patterson,2002,Warner Vision
3881,0451188454,The Bone Collector (Lincoln Rhyme Novels (Paperback)),Jeff Deaver,2004,Signet Book
3917,0609804138,The Sweet Potato Queens' Book of Love,JILL CONNER BROWNE,1999,Three Rivers Press
3997,0671003755,She's Come Undone (Oprah's Book Club (Paperback)),Wally Lamb,1996,Washington Square Press
4154,074343627X,Dreamcatcher,Stephen King,2001,Pocket
4220,1573229571,About a Boy (Movie Tie-In),Nick Hornby,2002,Riverhead Books
4263,0064407667,"The Bad Beginning (A Series of Unfortunate Events, Book 1)",Lemony Snicket,1999,HarperCollins
4359,0385503822,The Summons,John Grisham,2002,Doubleday Books
4430,0425189864,Mortal Prey,John Sandford,2003,Berkley Publishing Group
4452,0440241073,The Summons,John Grisham,2002,Dell Publishing Company
4585,0345342968,Fahrenheit 451,RAY BRADBURY,1987,Del Rey
4707,0671027662,Coast Road: A Novel,Barbara Delinsky,1999,Pocket Books
4732,034541389X,Flesh and Blood,Jonathan Kellerman,2002,Ballantine Books
4777,0449221512,I Is for Innocent,Sue Grafton,1994,Fawcett Books
4828,0670894184,Back Roads,Tawni O'Dell,2000,Viking Books
4858,0425175405,Black Notice,Patricia Daniels Cornwell,2000,Berkley Publishing Group
4928,0440225701,The Street Lawyer,JOHN GRISHAM,1999,Dell
5026,067102423X,Bag of Bones,Stephen King,1999,Pocket
5098,0425178102,Big Trouble,Dave Barry,2001,Berkley Publishing Group
5126,0446609404,Cradle and All,James Patterson,2001,Warner Vision
5178,0446610038,1st to Die: A Novel,James Patterson,2002,Warner Vision
5306,0345404114,Sleepers,Lorenzo Carcaterra,1996,Ballantine Books
5342,0385479565,The Hot Zone,Richard Preston,1995,Anchor
5400,0553580930,A Man in Full,Tom Wolfe,1999,Bantam
5426,0804114986,The Bonesetter's Daughter,Amy Tan,2002,Ballantine Books
5509,0440414806,Holes (Yearling Newbery),LOUIS SACHAR,2000,Yearling
5569,0671042858,The Girl Who Loved Tom Gordon,Stephen King,2000,Pocket
5640,0679745203,The English Patient,Michael Ondaatje,1996,Vintage Books USA
5714,0060391626,I Know This Much Is True (Oprah's Book Club),Wally Lamb,1998,Regan Books
5769,0060502258,The Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,2002,HarperTorch
5900,0060987561,I Know This Much Is True,Wally Lamb,1999,Regan Books
5977,0345413881,Dr. Death (Alex Delaware Novels (Paperback)),Jonathan Kellerman,2001,Ballantine Books
6009,0385475721,The Blind Assassin,Margaret Atwood,2000,Nan A. Talese
6043,042511774X,Breathing Lessons,Anne Tyler,1994,Berkley Publishing Group
6076,0440236673,The Brethren,John Grisham,2000,Island
6190,0446604801,Jack &amp; Jill (Alex Cross Novels),James Patterson,1997,Warner Books
6247,0446606189,Cat &amp; Mouse (Alex Cross Novels),James Patterson,1998,Warner Books
6310,0446609323,Black Friday,James Patterson,1989,Warner Vision
6346,0449134482,Dances With Wolves,Michael Blake,1990,Fawcett Books
6365,0553268880,The Prince of Tides,Pat Conroy,1987,Bantam Books
6430,0553572997,The Alienist,Caleb Carr,1995,Bantam Books
6530,0671021001,She's Come Undone (Oprah's Book Club),Wally Lamb,1998,Pocket
6693,0671510053,SHIPPING NEWS,Annie Proulx,1994,Scribner
6799,0679746048,"Girl, Interrupted",SUSANNA KAYSEN,1994,Vintage
6897,1558743669,"A Child Called \It\"": One Child's Courage to Survive""",Dave Pelzer,1995,Health Communications
6994,0316969680,The Beach House,James Patterson,2002,"Little, Brown"
7049,0375703861,White Teeth: A Novel,Zadie Smith,2001,Vintage Books USA
7102,0743206045,Daddy's Little Girl,Mary Higgins Clark,2002,Simon &amp; Schuster
7135,044023722X,A Painted House,John Grisham,2001,Dell Publishing Company
7326,0312282990,The Amazing Adventures of Kavalier &amp; Clay,Michael Chabon,2001,Picador
7391,014023313X,The Stone Diaries,Carol Shields,1995,Penguin Books
7440,014029628X,Girl in Hyacinth Blue,Susan Vreeland,2000,Penguin Books
7505,038550926X,The Devil Wears Prada : A Novel,LAUREN WEISBERGER,2003,Doubleday
7557,0345443284,While I Was Gone,Sue Miller,1999,Ballantine Books
7648,0316601950,The Pilot's Wife : A Novel,Anita Shreve,1999,Back Bay Books
7844,0452282152,Girl with a Pearl Earring,Tracy Chevalier,2001,Plume Books
8048,0552998486,Chocolat,Joanne Harris,2000,Black Swan
8082,0425154092,From Potter's Field,Patricia Daniels Cornwell,1996,Berkley Publishing Group
8170,0060173289,Divine Secrets of the Ya-Ya Sisterhood : A Novel,Rebecca Wells,1996,HarperCollins
8213,0060976845,Little Altars Everywhere: A Novel,Rebecca Wells,1996,Perennial
8364,0156027321,Life of Pi,Yann Martel,2003,Harvest Books
8544,0553576801,The Perfect Husband,LISA GARDNER,1997,Bantam
8579,0312195516,The Red Tent (Bestselling Backlist),Anita Diamant,1998,Picador USA
8838,0385474016,"Like Water for Chocolate: A Novel in Monthly Installments With Recipes, Romances and Home Remedies",Laura Esquivel,1994,Anchor Books/Doubleday
8888,0446608955,A Walk to Remember,Nicholas Sparks,2000,Warner Books
8984,0553279378,I Know Why the Caged Bird Sings,MAYA ANGELOU,1983,Bantam
9037,0670892963,Bridget Jones : The Edge of Reason,Helen Fielding,2000,Viking Books
9091,0671028375,Fatal Voyage,Kathy Reichs,2002,Pocket
9130,0671683993,The Temple of My Familiar,Alice Walker,1990,Pocket
9157,0684872153,Angela's Ashes (MMP) : A Memoir,Frank McCourt,1999,Scribner
9260,0060930535,The Poisonwood Bible: A Novel,Barbara Kingsolver,1999,Perennial
9414,0060934417,Bel Canto: A Novel,Ann Patchett,2002,Perennial
9530,0061009059,One for the Money (Stephanie Plum Novels (Paperback)),Janet Evanovich,1995,HarperTorch
9637,0140067477,The Tao of Pooh,Benjamin Hoff,1983,Penguin Books
9716,014100018X,Chocolat,Joanne Harris,2000,Penguin Books
9760,0142001740,The Secret Life of Bees,Sue Monk Kidd,2003,Penguin Books
9995,0312966091,Three To Get Deadly : A Stephanie Plum Novel (A Stephanie Plum Novel),Janet Evanovich,1998,St. Martin's Paperbacks
10079,031298328X,Full Tilt (Janet Evanovich's Full Series),Janet Evanovich,2003,St. Martin's Paperbacks
10123,0316096199,Lucky : A Memoir,Alice Sebold,2002,Back Bay Books
10236,0316168688,The Dogs of Babel (Today Show Book Club #12),Carolyn Parkhurst,2003,"Little, Brown"
10274,0316284955,White Oleander : A Novel (Oprah's Book Club),Janet Fitch,2000,Back Bay Books
10399,0316569321,White Oleander : A Novel,Janet Fitch,1999,"Little, Brown"
10492,0316602051,The Jester,James Patterson,2003,"Little, Brown"
10522,0316776963,Me Talk Pretty One Day,David Sedaris,2001,Back Bay Books
10648,0316777730,Naked,David Sedaris,1998,Back Bay Books
10706,0345339681,The Hobbit : The Enchanting Prelude to The Lord of the Rings,J.R.R. TOLKIEN,1986,Del Rey
10830,0345361792,A Prayer for Owen Meany,John Irving,1990,Ballantine Books
10961,0345413903,The Murder Book,Jonathan Kellerman,2003,Ballantine Books
11013,0345436911,The Dress Lodger (Ballantine Reader's Circle),Sheri Holman,2001,Ballantine Books
11058,0374199698,Middlesex: A Novel,Jeffrey Eugenides,2002,"Farrar, Straus and Giroux"
11095,0375727132,The Dive From Clausen's Pier : A Novel (Vintage Contemporaries (Paperback)),ANN PACKER,2003,Vintage
11133,0380710218,Postmortem,Patricia Daniels Cornwell,1993,Harper Mass Market Paperbacks (Mm)
11186,0380718332,All That Remains (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,1993,Avon
11241,0385424736,The Rainmaker,John Grisham,1995,Doubleday Books
11287,0385484518,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",MITCH ALBOM,1997,Doubleday
11431,0385486804,Into the Wild,Jon Krakauer,1997,Anchor
11520,0399144463,Who Moved My Cheese? An Amazing Way to Deal with Change in Your Work and in Your Life,Spencer Johnson,1998,Putnam Pub Group (Paper)
11589,0399501487,Lord of the Flies,William Gerald Golding,1959,Perigee Trade
11681,0425107469,Watchers,Dean R. Koontz,1996,Berkley Publishing Group
11726,0425116840,The Cardinal of the Kremlin (Jack Ryan Novels),Tom Clancy,1989,Berkley Publishing Group
11760,0425158616,Cause of Death,Patricia Daniels Cornwell,1997,Berkley Publishing Group
11813,0439064872,Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling,2000,Scholastic
11969,0439136369,Harry Potter and the Prisoner of Azkaban (Book 3),J. K. Rowling,2001,Scholastic
12086,043936213X,Harry Potter and the Sorcerer's Stone (Book 1),J. K. Rowling,2001,Scholastic
12126,0440224764,The Partner,John Grisham,1998,Dell Publishing Company
12246,0440236703,Tell No One,Harlan Coben,2002,Dell Publishing Company
12308,0441172717,Dune (Remembering Tomorrow),Frank Herbert,1996,ACE Charter
12372,0446602620,Blood Work,Michael Connelly,1998,Warner Books
12404,0446603716,Hide &amp; Seek,James Patterson,1996,Warner Books
12440,0446607193,Unspeakable,Sandra Brown,1999,Warner Books
12475,0446608890,Saving Faith,David Baldacci,2000,Warner Vision
12510,0449221482,J Is for Judgment,Sue Grafton,1999,Fawcett Books
12559,0449221504,K Is for Killer (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1999,Fawcett Books
12603,0451169522,Misery,Stephen King,2004,Penguin USA (Paper)
12645,0451177096,Dolores Claiborne,Stephen King,2004,Signet Book
12697,0452284449,The Virgin Blue,Tracy Chevalier,2003,Plume Books
12743,0515132020,Heaven and Earth (Three Sisters Island Trilogy),Nora Roberts,2003,Jove Books
12812,0515133302,Hemlock Bay,Catherine Coulter,2002,Jove Books
12842,0553271636,D Is for Deadbeat (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1988,Bantam
12895,0553274295,Where the Red Fern Grows,Wilson Rawls,1984,Random House Children's Books
12937,0553279556,E Is for Evidence: A Kinsey Millhone Mystery (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1989,Bantam
12986,0553280341,B Is for Burglar (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1986,Bantam
13057,0553280368,C Is for Corpse (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1987,Bantam
13106,0553571818,Long After Midnight,IRIS JOHANSEN,1997,Bantam
13133,0553582755,One Door Away from Heaven,Dean R. Koontz,2002,Bantam Books
13207,0671001795,Two for the Dough,Janet Evanovich,1996,Pocket
13308,0679731148,A Year in Provence,Peter Mayle,1991,Vintage Books USA
13358,0679751521,Midnight in the Garden of Good and Evil,John Berendt,1999,Vintage Books USA
13408,0743412028,Pay It Forward,Catherine Ryan Hyde,2000,Pocket
13452,080410753X,The Kitchen God's Wife,Amy Tan,1992,Ivy Books
13533,080411918X,A Patchwork Planet,ANNE TYLER,2001,Ballantine Books
13557,1400031354,Tears of the Giraffe (No.1 Ladies Detective Agency),Alexander McCall Smith,2002,Anchor
13643,1400034779,The No. 1 Ladies' Detective Agency (Today Show Book Club #8),Alexander McCall Smith,2003,Anchor
13787,0312144075,The Samurai's Garden : A Novel,Gail Tsukiyama,1996,St. Martin's Griffin
13815,0671027360,Angels &amp; Demons,Dan Brown,2001,Pocket Star
14033,0385722206,Balzac and the Little Chinese Seamstress : A Novel,DAI SIJIE,2002,Anchor
