,ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher
0,034545104X,Flesh Tones: A Novel,M. J. Rose,2002,Ballantine Books
17,0446520802,The Notebook,Nicholas Sparks,1996,Warner Books
49,038550120X,A Painted House,JOHN GRISHAM,2001,Doubleday
92,0425115801,Lightning,Dean R. Koontz,1996,Berkley Publishing Group
121,0449006522,Manhattan Hunt Club,JOHN SAUL,2002,Ballantine Books
140,0553561618,Dark Paradise,TAMI HOAG,1994,Bantam
169,055356451X,Night Sins,TAMI HOAG,1995,Bantam
205,0060517794,Little Altars Everywhere,Rebecca Wells,2003,HarperTorch
219,0451192001,How Stella Got Her Groove Back,Terry McMillan,1997,Signet Book
230,0671537458,Waiting to Exhale,Terry McMillan,1995,Pocket
243,0684867621,The Girl Who Loved Tom Gordon : A Novel,Stephen King,1999,Scribner
279,0451166892,The Pillars of the Earth,Ken Follett,1996,Signet Book
329,0451167317,The Dark Half,Stephen King,1994,Signet Book
379,043935806X,Harry Potter and the Order of the Phoenix (Book 5),J. K. Rowling,2003,Scholastic
526,0330332775,Bridget Jones's Diary,Helen Fielding,1997,Picador (UK)
565,0061054151,Whirlwind (The X-Files),Charles Grant,1995,HarperEntertainment
575,0671024108,Speaking in Tongues,Jeffery Deaver,2002,Pocket
590,0064405176,Walk Two Moons,Sharon Creech,1996,HarperTrophy
602,0440498058,A Wrinkle In Time,MADELEINE L'ENGLE,1998,Yearling
654,0060096195,The Boy Next Door,Meggin Cabot,2002,Avon Trade
685,0786817070,"Artemis Fowl (Artemis Fowl, Book 1)",Eoin Colfer,2002,Miramax Kids
737,0440225825,Move to Strike,Perri O'Shaughnessy,2001,Island
754,0316781266,The Last Time They Met : A Novel,Anita Shreve,2002,Back Bay Books
792,0345446860,Back When We Were Grownups : A Novel (Ballantine Reader's Circle),ANNE TYLER,2002,Ballantine Books
814,0385729340,The Second Summer of the Sisterhood,ANN BRASHARES,2003,Delacorte Books for Young Readers
833,0446364193,Along Came a Spider (Alex Cross Novels),James Patterson,1993,Warner Books
892,0449217264,Alaska,James A. Michener,1994,Fawcett Books
904,0345423402,A Kiss of Shadows (Meredith Gentry Novels (Paperback)),LAURELL K. HAMILTON,2002,Ballantine Books
930,044020562X,One,Richard Bach,1989,Dell
942,042518109X,Whispers,Dean R. Koontz,2001,Berkley Publishing Group
952,0671723650,How To Win Friends And Influence People,Dale Carnegie,1990,Pocket
960,0446613843,The Jester,James Patterson,2004,Warner Books
969,0440241537,The King of Torts,JOHN GRISHAM,2003,Dell
1014,002542730X,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times,James Finn Garner,1994,John Wiley &amp; Sons Inc
1064,0316666343,The Lovely Bones: A Novel,Alice Sebold,2002,"Little, Brown"
1379,0345391810,The Restaurant at the End of the Universe (Hitchhiker's Trilogy (Paperback)),Douglas Adams,1995,Ballantine Books
1397,0385504209,The Da Vinci Code,Dan Brown,2003,Doubleday
1647,0679745580,In Cold Blood (Vintage International),TRUMAN CAPOTE,1994,Vintage
1658,0804106304,The Joy Luck Club,Amy Tan,1994,Prentice Hall (K-12)
1761,0971880107,Wild Animus,Rich Shapero,2004,Too Far
1929,059030271X,Charlotte's Web,E. B. White,1974,Scholastic Paperbacks (T)
1943,0060964049,"Tales of the City (Tales of the City Series, V. 1)",Armistead Maupin,1989,Perennial
1964,0380807343,Coraline,Neil Gaiman,2003,HarperTrophy
1985,0439064864,Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling,1999,Scholastic
2084,059035342X,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),J. K. Rowling,1999,Arthur A. Levine Books
2257,0446310786,To Kill a Mockingbird,Harper Lee,1988,Little Brown &amp; Company
2384,0312966970,Four To Score (A Stephanie Plum Novel),Janet Evanovich,1999,St. Martin's Paperbacks
2458,0345354621,The Terminal Man,Michael Crichton,1988,Ballantine Books
2477,0425172546,Southern Cross,Patricia Daniels Cornwell,1999,Berkley Publishing Group
2512,0440220602,The Chamber,John Grisham,1995,Dell Publishing Company
2593,0765342987,Kushiel's Dart,Jacqueline Carey,2002,Tor Books
2611,0812550307,"The Fires of Heaven (The Wheel of Time, Book 5)",Robert Jordan,1994,Tor Fantasy
2626,0060930187,The Bell Jar : A Novel (Perennial Classics),Sylvia Plath,2000,Perennial
2646,0375760911,The Idiot Girls' Action Adventure Club,Laurie Notaro,2002,Villard Books
2682,0689817851,Go Ask Alice,Anonymous,1998,Simon Pulse
2709,0671793489,All Around the Town,Mary Higgins Clark,1993,Pocket Star
2741,0312244266,Winter Solstice,Rosamunde Pilcher,2000,Thomas Dunne Books
2758,3423202327,MÃ?Â¶rder ohne Gesicht.,Henning Mankell,1999,Dtv
2767,3492045170,Stupid White Men. Eine Abrechnung mit dem Amerika unter George W. Bush,Michael Moore,2003,Piper
2780,0671011367,Deja Dead,Kathy Reichs,1998,Pocket
2808,0061000027,Dance Hall of the Dead (Joe Leaphorn Novels),Tony Hillerman,1990,HarperTorch
2821,0812511816,"The Eye of the World (The Wheel of Time, Book 1)",Robert Jordan,1990,Tor Fantasy
2850,0880381736,"Dragons of Autumn Twilight (Dragonlance Chronicles, Vol 1)",Margaret Weis,1990,TSR
2863,0060505885,The Scandalous Summer of Sissy LeBlanc : A Novel,Loraine Despres,2002,Perennial
2876,0061097101,The Saving Graces: A Novel,Patricia Gaffney,2000,HarperTorch
2910,0312283709,Running with Scissors,Augusten Burroughs,2002,St. Martin's Press
2925,0312983271,Full House (Janet Evanovich's Full Series),Janet Evanovich,2002,St. Martin's Paperbacks
2977,0380731851,Mystic River,Dennis Lehane,2002,HarperTorch
3027,0446605484,Roses Are Red (Alex Cross Novels),James Patterson,2001,Warner Vision
3067,0446611212,Violets Are Blue,James Patterson,2002,Warner Vision
3114,0451188454,The Bone Collector (Lincoln Rhyme Novels (Paperback)),Jeff Deaver,2004,Signet Book
