,ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher
0,034545104X,Flesh Tones: A Novel,M. J. Rose,2002,Ballantine Books
11,0446520802,The Notebook,Nicholas Sparks,1996,Warner Books
32,038550120X,A Painted House,JOHN GRISHAM,2001,Doubleday
65,0425115801,Lightning,Dean R. Koontz,1996,Berkley Publishing Group
87,0449006522,Manhattan Hunt Club,JOHN SAUL,2002,Ballantine Books
102,0553561618,Dark Paradise,TAMI HOAG,1994,Bantam
128,055356451X,Night Sins,TAMI HOAG,1995,Bantam
156,0060517794,Little Altars Everywhere,Rebecca Wells,2003,HarperTorch
166,0451192001,How Stella Got Her Groove Back,Terry McMillan,1997,Signet Book
175,0609801279,The Law of Love,Laura Esquivel,1997,Three Rivers Press (CA)
177,0671537458,Waiting to Exhale,Terry McMillan,1995,Pocket
188,0679776818,Birdsong: A Novel of Love and War,Sebastian Faulks,1997,Vintage Books USA
196,0684867621,The Girl Who Loved Tom Gordon : A Novel,Stephen King,1999,Scribner
224,0451166892,The Pillars of the Earth,Ken Follett,1996,Signet Book
263,034544003X,Southampton Row (Charlotte &amp; Thomas Pitt Novels (Hardcover)),Anne Perry,2002,Ballantine Books
266,0380711524,See Jane Run,Joy Fielding,1992,Avon
275,0451167317,The Dark Half,Stephen King,1994,Signet Book
318,0553572369,Pay Dirt (Mrs. Murphy Mysteries (Paperback)),RITA MAE BROWN,1996,Bantam
323,3499230933,Adressat unbekannt.,Kathrine Kressmann Taylor,2002,Rowohlt Tb.
324,3442136644,Endlich Nichtraucher.,Allen Carr,1992,Goldmann
325,0345443683,"Blackwood Farm (Rice, Anne, Vampire Chronicles.)",ANNE RICE,2003,Ballantine Books
334,043935806X,Harry Potter and the Order of the Phoenix (Book 5),J. K. Rowling,2003,Scholastic
454,055310666X,False Memory,Dean R. Koontz,1999,Bantam Books
463,0330332775,Bridget Jones's Diary,Helen Fielding,1997,Picador (UK)
491,3423084049,Der Englishche Patient,Michael Ondaatje,0,Deutscher Taschenbuch Verlag (DTV)
492,3548603203,Artemis Fowl.,Eoin Colfer,2003,Ullstein TB-Vlg
494,0061054143,The X-Files: Goblins,Charles Grant,1994,HarperEntertainment
496,0061054151,Whirlwind (The X-Files),Charles Grant,1995,HarperEntertainment
503,0061056774,The X-Files: Ground Zero,Kevin J. Anderson,1996,HarperEntertainment
509,0671024108,Speaking in Tongues,Jeffery Deaver,2002,Pocket
522,0064405176,Walk Two Moons,Sharon Creech,1996,HarperTrophy
532,0440498058,A Wrinkle In Time,MADELEINE L'ENGLE,1998,Yearling
574,0671749609,PERFUME : PERFUME,Patrick Suskind,1991,Washington Square Press
577,0140062718,The Rebel Angels,Robertson Davies,1983,Penguin Books
581,0060096195,The Boy Next Door,Meggin Cabot,2002,Avon Trade
607,0375821813,Hoot (Newbery Honor Book),CARL HIAASEN,2002,Knopf Books for Young Readers
610,0786817070,"Artemis Fowl (Artemis Fowl, Book 1)",Eoin Colfer,2002,Miramax Kids
646,2253044903,Le Parfum : Histoire d'un meurtrier,Patrick SÃ?Â¼skind,1988,LGF
657,2253150711,Stupeur Et Tremblements,Amelie Nothomb,2001,Distribooks
667,0440225825,Move to Strike,Perri O'Shaughnessy,2001,Island
680,0316781266,The Last Time They Met : A Novel,Anita Shreve,2002,Back Bay Books
709,0345446860,Back When We Were Grownups : A Novel (Ballantine Reader's Circle),ANNE TYLER,2002,Ballantine Books
726,0380005239,Go Ask Alice (Avon/Flare Book),James Jennings,1991,Avon Books
736,1593080255,The Picture of Dorian Gray,Oscar Wilde,2003,Barnes &amp; Noble Books-Imports
738,0385729340,The Second Summer of the Sisterhood,ANN BRASHARES,2003,Delacorte Books for Young Readers
753,0446364193,Along Came a Spider (Alex Cross Novels),James Patterson,1993,Warner Books
799,3379015180,Schlafes Bruder,Robert Schneider,1994,"Reclam, Leipzig"
802,3404148576,Nordermoor,Arnaldur Indridason,2003,LÃ?Â¼bbe
806,3423071516,Der Kleine Hobbit,J. R. R. Tolkien,2002,Distribooks
807,3442413508,Auf Ehre und Gewissen. Roman.,Elizabeth George,1992,Goldmann
810,3442437717,Asche zu Asche.,Elizabeth George,1997,Goldmann
814,3442444020,Denn sie betrÃ?Â¼gt man nicht.,Elizabeth George,1999,Goldmann
815,3442446414,Mit dem KÃ?Â¼hlschrank durch Irland.,Tony Hawks,2000,Goldmann
819,3442448530,Die HirnkÃ?Â¶nigin.,Thea Dorn,2001,Goldmann
821,3551551677,Harry Potter und der Stein der Weisen,Joanne K. Rowling,1999,Carlsen Verlag GmbH
827,3551551685,Harry Potter und die Kammer des Schreckens,Joanne K. Rowling,2000,Carlsen Verlag GmbH
832,3551551693,Harry Potter und der Gefangene von Azkaban,J. K. Rowling,1999,Carlsen Verlag GmbH
835,3551551936,Harry Potter Und Der Feuerkelch,Joanne K. Rowling,1999,Carlsen Verlag GmbH
839,3453061187,Die Jury. Roman.,John Grisham,1992,Heyne
843,3453071174,Die Firma. Roman.,John Grisham,1993,Heyne
848,3453127013,Der Regenmacher.,John Grisham,1997,Heyne
852,3596122279,Das Superwieb,Hera Lind,2002,Distribooks Inc
854,0449217264,Alaska,James A. Michener,1994,Fawcett Books
865,0843946415,Alone with the Dead (Joe Keough Mysteries (Paperback)),Robert J. Randisi,1999,Leisure Books
866,2253005274,Le Grand Meaulnes (Classiques De Poche),Alain-Fournier,2000,Distribooks Inc
875,0140328742,The Wonderful Story of Henry Sugar and Six More,Roald Dahl,1988,Penguin USA
877,0836218833,Attack Of The Deranged Mutant Killer Snow Goons,Bill Watterson,1992,Andrews McMeel Publishing
894,0836220889,Calvin and Hobbes,Bill Watterson,1987,Andrews McMeel Publishing
911,088365721X,"The Best of Bombeck: At Wit's End, Just Wait Until You Have Children of Your Own, I Lost Everything in the Post-Natal Depression",Erma Bombeck,1994,BBS Publishing Corporation
913,3257227264,Die HÃ?Â¤upter meiner Lieben.,Ingrid Noll,2000,Diogenes Verlag
918,3423201509,Die Weiss Lowin / Contemporary German Lit,Henning Mankell,2002,Distribooks
924,0345423402,A Kiss of Shadows (Meredith Gentry Novels (Paperback)),LAURELL K. HAMILTON,2002,Ballantine Books
947,3404131606,Nachtschicht.,Stephen King,2003,LÃ?Â¼bbe
949,3404139178,Das Lacheln der Fortuna: Historischer Roman,Rebecca Gable,1997,LÃ?Â¼bbe
951,3442421357,Im Eishaus.,Minette Walters,1996,Goldmann
955,345309221X,Die Zauberin von Ruwenda.,Marion Zimmer Bradley,1995,Heyne
957,3596129389,Die Zauberfrau.,Hera Lind,1995,"Fischer (Tb.), Frankfurt"
960,3596237874,Beim Naechsten Mann Wird Alles (Frau in Der Gesellschaft),Eva Heller,1997,Fischer Taschenbuch Verlag GmbH
961,3596247500,Ein Mann fÃ?Â¼r jede Tonart. Roman. ( Die Frau in der Gesellschaft).,Hera Lind,2000,"Fischer (Tb.), Frankfurt"
964,044020562X,One,Richard Bach,1989,Dell
973,042518109X,Whispers,Dean R. Koontz,2001,Berkley Publishing Group
980,0688172377,Desert Flower : The Extraordinary Journey Of A Desert Nomad,Waris Dirie,1999,Perennial
984,8806155873,Un Giorno Dopo L'altro,Carlo Lucarelli,2000,Einaudi
985,8817106100,Oceano Mare,Alessandro Baricco,0,Biblioteca Universale Rizzoli
987,0151446474,The Name of the Rose,Umberto Eco,1983,Harcourt
992,0064430227,Harold and the Purple Crayon 50th Anniversary Edition (Purple Crayon Books),Crockett Johnson,1981,HarperTrophy
996,0671723650,How To Win Friends And Influence People,Dale Carnegie,1990,Pocket
1004,0812533550,Ender's Game (Ender Wiggins Saga (Paperback)),Orson Scott Card,1986,Tor Books
1009,0446613843,The Jester,James Patterson,2004,Warner Books
1014,0440241537,The King of Torts,JOHN GRISHAM,2003,Dell
1040,0060542845,The Holiday Present,Johanna Lindsey,2003,Avon Books
1045,1551666308,"Roan (Blake, Jennifer, Louisiana Gentlemen Series.)",Jennifer Blake,2000,Mira
1046,042513976X,Close to the Bone,David Wiltse,1993,Berkley Publishing Group
1047,0441008291,The Tower at Stony Wood,Patricia A. McKillip,2001,Ace Books
1049,002542730X,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times,James Finn Garner,1994,John Wiley &amp; Sons Inc
1090,0060520507,"Sushi for Beginners : A Novel (Keyes, Marian)",Marian Keyes,2003,William Morrow
1095,0060930934,Wasted : A Memoir of Anorexia and Bulimia,Marya Hornbacher,1999,Perennial
1102,0060951303,La casa de los espÃ­ritus,Isabel Allende,1995,Rayo
1105,0140154078,The Music of Chance,Paul Auster,1993,Penguin Books
1111,0140327592,Matilda,Roald Dahl,1990,Viking Penguin Inc
1113,0151010633,Q,Luther Blissett,2004,Harcourt
1114,0316666343,The Lovely Bones: A Novel,Alice Sebold,2002,"Little, Brown"
1357,0345391810,The Restaurant at the End of the Universe (Hitchhiker's Trilogy (Paperback)),Douglas Adams,1995,Ballantine Books
1368,0385504209,The Da Vinci Code,Dan Brown,2003,Doubleday
1562,0439284031,Harry Potter Schoolbooks: Quidditch Through the Ages and Fantastic Beasts and Where to Find Them,J .K. Rowling,2001,Scholastic
1563,0449221148,High Stakes,Dick Francis,1993,Fawcett Books
1567,0451527747,Alice's Adventures in Wonderland and Through the Looking Glass,Lewis Carroll,2000,Signet Classics
1573,0486282112,Frankenstein (Dover Thrift Editions),Mary Wollstonecraft Shelley,1994,Dover Publications
1579,0486424499,Jane Eyre (Dover Thrift Editions),Charlotte Bronte,2003,Dover Publications
1586,0613329740,Quidditch Through the Ages,J. K. Rowling,2001,Sagebrush Education Resources
1598,067172939X,Dark Angel (Casteel),V.C. Andrews,1990,Pocket
1604,0671729438,Gates of Paradise (Casteel),V.C. Andrews,1990,Pocket
1611,0679745580,In Cold Blood (Vintage International),TRUMAN CAPOTE,1994,Vintage
1619,0804106304,The Joy Luck Club,Amy Tan,1994,Prentice Hall (K-12)
1698,0971880107,Wild Animus,Rich Shapero,2004,Too Far
1806,2290309494,Virgin suicides,Eugenides Jeffrey,2000,J'ai lu
1808,2742739351,Les Soldats de Salamine,Javier Cercas,2002,Actes Sud
1810,8408011200,El Hermano Pequeno (Serie Carvalho),Manuel Vazquez Montalban,1995,Planeta Pub Corp
1812,8423325105,NADA,Carmen Laforet,1999,Destino Ediciones
1813,8440627203,El mÃ©dico,Noah Gordon,1992,Ediciones B
1816,8495501090,El ocho,Katherine Neville,2001,Punto de Lectura
1821,8495501198,Memorias de una geisha,Arthur Golden,2001,Suma de Letras
1826,950491036X,La Sombra del Viento,Carlos Ruiz Zafon,2003,Planeta
1834,059030271X,Charlotte's Web,E. B. White,1974,Scholastic Paperbacks (T)
1846,0590453661,"Stay Out of the Basement (Goosebumps, No 2)",R. L. Stine,1995,Scholastic
1849,0590483404,"A Shocker on Shock Street (Goosebumps, No 35)",R. L. Stine,1995,Scholastic
1852,0671021354,Child of the Hunt (Buffy the Vampire Slayer),Christopher Golden,1998,Simon Spotlight Entertainment
1854,0671026283,Visitors (Buffy the Vampire Slayer),Laura Anne Gilman,1999,Simon Spotlight Entertainment
1855,0671727109,My Teacher Fried My Brains (MY TEACHER BOOKS),Bruce Coville,1991,Aladdin
1857,0060964049,"Tales of the City (Tales of the City Series, V. 1)",Armistead Maupin,1989,Perennial
1874,0380807343,Coraline,Neil Gaiman,2003,HarperTrophy
1890,0439064864,Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling,1999,Scholastic
1973,2020564777,Bouquiner : Autobiobibliographie,Annie FranÃ?Â§ois,2002,Seuil
1977,2020591944,Twist tropique,Francis Mizio,2003,Seuil
1979,2070378411,L'Enchanteur,RenÃ?Â© Barjavel,1987,Gallimard
1980,2070404587,Le Liseur,Berhard Schlink,0,Folio
1984,2070406962,Des chrÃ?Â©tiens et des maures,Daniel Pennac,1999,Gallimard
1990,2070725804,Comme un roman,Daniel Pennac,1992,Gallimard
1993,2226070109,Un aller simple: Roman,Didier van Cauwelaert,1994,Albin Michel
1997,2226135022,Oscar et la dame rose,Eric-Emmanuel Schmitt,2002,Albin Michel
2005,2253049417,"Bilbo, Le Hobbit",J. R. R. Tolkien,2002,Pocket (FR)
2011,2264031158,"Amour, Prozac, et autres curiositÃ?Â©s",Lucia Etxebarria,2000,Editions 10/18
2013,2266102621,Les Heures / The Hours,Michael Cunningham,2001,Pocket (FR)
2019,2266104535,Et Si C'Etait Vrai / If This Were Only True,Marc Levy,2001,Pocket
2029,2277302228,The Nazis and the Metro,Didier Daeninckx,0,Editions 84
2034,2290308285,"Le Cycle d'Ender, tome 1 : La StratÃ?Â©gie Ender",Scott Card Orson,2001,J'ai lu
2040,2290312924,"Le Cycle d'Ender, tome 2 : La Voix des morts",Scott Card Orson,2001,J'ai lu
2045,2895400644,J'Ã?Â©tais si timide que j'ai mordu la maÃ?Â®tresse,Minne,2003,Les 400 coups
2049,2907572121,Les bruines de Lanester,Jean Failler,2003,Du Palemon
2052,3453150538,Weit wie das Meer.,Nicholas Sparks,1999,Heyne
2053,0140187758,O Pioneers! (Penguin Twentieth-Century Classics),Willa Cather,1994,Penguin Books
2055,0316154601,Lost Light,Michael Connelly,2003,"Little, Brown"
2059,059035342X,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),J. K. Rowling,1999,Arthur A. Levine Books
2195,2070419657,Soie,Alessandro Baricco,2001,Gallimard
2198,2253063339,Les Fourmis,Bernard Werber,2002,LGF
2207,2253137243,Le Jour des fourmis,Bernard Werber,1995,LGF
2212,2253144452,La RÃ?Â©volution des fourmis,Bernard Werber,1998,LGF
2218,2264027134,Haute FidÃ?Â©litÃ?Â©,Nick Hornby,1999,Editions 10/18
2222,226612269X,Ou Es-Tu?,Marc Levy,2003,Distribooks Inc
2224,2290318329,L'Homme aux cercles bleus,Fred Vargas,2002,J'ai lu
2229,2878580753,Un peu plus loin sur la droite (Chemins nocturnes),Fred Vargas,1996,V. Hamy
2231,8423310353,El Camino (Coleccion Destinolibro),Miguel Delibes,1991,Continental Book Company
2235,0446310786,To Kill a Mockingbird,Harper Lee,1988,Little Brown &amp; Company
2336,3423118709,Title Kassandra. ErzÃ?Â¤hlung. ( Sammlung Luchterhand im dtv).,Christa Wolf,1993,Dtv
2339,3442723078,Die Asche Meiner Mutter,Frank McCourt,1999,"Wilhelm Goldmann Verlag, GmbH"
2341,0312966970,Four To Score (A Stephanie Plum Novel),Janet Evanovich,1999,St. Martin's Paperbacks
2400,0312864590,"Crossroads of Twilight (The Wheel of Time, Book 10)",Robert Jordan,2003,Tor Fantasy
2401,0345348664,The Illearth War (Chronicles of Thomas Covenant the Unbeliever),Stephen R. Donaldson,1989,Del Rey Books
2404,0345348672,"The Power That Preserves (The Chronicles of Thomas Covenant the Unbeliever, Book 3)",Stephen R. Donaldson,1993,Del Rey Books
2409,0345354621,The Terminal Man,Michael Crichton,1988,Ballantine Books
2423,0345385764,Night Manager,JOHN LE CARRE,1994,Ballantine Books
2426,0345435036,Crying Wolf,PETER ABRAHAMS,2001,Fawcett
2427,0425104273,The First Deadly Sin,Lawrence Sanders,1993,Berkley Publishing Group
2429,0425172546,Southern Cross,Patricia Daniels Cornwell,1999,Berkley Publishing Group
2454,0440218667,The Select,F. Paul Wilson,1995,Dell
2456,0440220602,The Chamber,John Grisham,1995,Dell Publishing Company
2522,0451180054,Trial by Fire,Nancy Taylor Rosenberg,1996,Signet Book
2531,0451198514,Stealing Faces,Michael Prescott,1999,Signet Book
2537,0515131520,Darkling I Listen,Katherine Sutcliffe,2001,Jove Books
2540,0553266306,The Day of the Jackal,Frederick Forsyth,1982,Bantam Books
2542,0765342987,Kushiel's Dart,Jacqueline Carey,2002,Tor Books
2556,0812550307,"The Fires of Heaven (The Wheel of Time, Book 5)",Robert Jordan,1994,Tor Fantasy
2569,0843949163,In the Dark,Richard Laymon,2001,Leisure Books
2571,0886773741,Tailchaser's Song,Tad Williams,1994,Daw Books
