,ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher
0,034545104X,Flesh Tones: A Novel,M. J. Rose,2002,Ballantine Books
18,0446520802,The Notebook,Nicholas Sparks,1996,Warner Books
52,038550120X,A Painted House,JOHN GRISHAM,2001,Doubleday
98,0425115801,Lightning,Dean R. Koontz,1996,Berkley Publishing Group
128,0449006522,Manhattan Hunt Club,JOHN SAUL,2002,Ballantine Books
149,0553561618,Dark Paradise,TAMI HOAG,1994,Bantam
178,055356451X,Night Sins,TAMI HOAG,1995,Bantam
216,0786013990,At the Edge,David Dun,2002,Pinnacle Books
217,0060517794,Little Altars Everywhere,Rebecca Wells,2003,HarperTorch
232,0451192001,How Stella Got Her Groove Back,Terry McMillan,1997,Signet Book
243,0609801279,The Law of Love,Laura Esquivel,1997,Three Rivers Press (CA)
247,0671537458,Waiting to Exhale,Terry McMillan,1995,Pocket
260,0679776818,Birdsong: A Novel of Love and War,Sebastian Faulks,1997,Vintage Books USA
273,0684867621,The Girl Who Loved Tom Gordon : A Novel,Stephen King,1999,Scribner
310,0451166892,The Pillars of the Earth,Ken Follett,1996,Signet Book
363,034544003X,Southampton Row (Charlotte &amp; Thomas Pitt Novels (Hardcover)),Anne Perry,2002,Ballantine Books
367,0380711524,See Jane Run,Joy Fielding,1992,Avon
378,0451167317,The Dark Half,Stephen King,1994,Signet Book
429,3442424216,"Ich, Prinzessin aus dem Hause Al Saud. Ein Leben hinter tausend Schleiern.",Jean P. Sasson,1994,Goldmann
431,3453092007,Die zweite Haut.,Dean Koontz,1995,Heyne
433,0140279091,Saving Private Ryan,Max Allan Collins,1998,Penguin Books Ltd
434,0553572369,Pay Dirt (Mrs. Murphy Mysteries (Paperback)),RITA MAE BROWN,1996,Bantam
440,0571058086,Waiting for Godot,Samuel Beckett,0,Faber Faber Inc
441,3499230933,Adressat unbekannt.,Kathrine Kressmann Taylor,2002,Rowohlt Tb.
442,3442136644,Endlich Nichtraucher.,Allen Carr,1992,Goldmann
443,0345443683,"Blackwood Farm (Rice, Anne, Vampire Chronicles.)",ANNE RICE,2003,Ballantine Books
454,043935806X,Harry Potter and the Order of the Phoenix (Book 5),J. K. Rowling,2003,Scholastic
603,055310666X,False Memory,Dean R. Koontz,1999,Bantam Books
613,0330332775,Bridget Jones's Diary,Helen Fielding,1997,Picador (UK)
654,3423084049,Der Englishche Patient,Michael Ondaatje,0,Deutscher Taschenbuch Verlag (DTV)
655,3446202102,Der GeschichtenverkÃ?Â¤ufer.,Jostein Gaarder,2002,Hanser Belletristik
656,349915398X,Hasenherz. Roman.,John Updike,1976,Rowohlt Tb.
657,3548603203,Artemis Fowl.,Eoin Colfer,2003,Ullstein TB-Vlg
661,0061054143,The X-Files: Goblins,Charles Grant,1994,HarperEntertainment
665,0061054151,Whirlwind (The X-Files),Charles Grant,1995,HarperEntertainment
676,0061056774,The X-Files: Ground Zero,Kevin J. Anderson,1996,HarperEntertainment
683,0671024108,Speaking in Tongues,Jeffery Deaver,2002,Pocket
699,0064405176,Walk Two Moons,Sharon Creech,1996,HarperTrophy
712,0440498058,A Wrinkle In Time,MADELEINE L'ENGLE,1998,Yearling
765,0440414121,The Watsons Go to Birmingham - 1963 (Yearling Newbery),CHRISTOPHER PAUL CURTIS,1997,Yearling
766,8426449476,El Diaro De Bridget Jones,Helen Fielding,1996,Lumen Espana
767,0812571029,Uther (Camulod Chronicles),Jack Whyte,2001,Tor Books
768,0671749609,PERFUME : PERFUME,Patrick Suskind,1991,Washington Square Press
774,0140062718,The Rebel Angels,Robertson Davies,1983,Penguin Books
779,0060096195,The Boy Next Door,Meggin Cabot,2002,Avon Trade
811,0141310340,Skin and Other Stories (Now in Speak!),Roald Dahl,2002,Puffin Books
814,0375821813,Hoot (Newbery Honor Book),CARL HIAASEN,2002,Knopf Books for Young Readers
819,038076041X,A Kid's Guide to How to Save the Planet (Camelot world),Billy Goodman,1990,Harpercollins Juvenile Books
821,0439087597,The Last Book in the Universe,Rodman Philbrick,2002,Scholastic Signature
824,0439401399,The Contest,Gordon Korman,2002,Scholastic
825,0689804458,A String in the Harp,Nancy Bond,1996,Aladdin
827,0786812508,The Sandy Bottom Orchestra,Jenny Nilson,1998,Hyperion Books for Children
828,0786817070,"Artemis Fowl (Artemis Fowl, Book 1)",Eoin Colfer,2002,Miramax Kids
882,2070403734,Les Confessions: Livres I Ã?Â  IV,Jean-Jacques Rousseau,1997,Gallimard
883,2253044903,Le Parfum : Histoire d'un meurtrier,Patrick SÃ?Â¼skind,1988,LGF
896,2253150711,Stupeur Et Tremblements,Amelie Nothomb,2001,Distribooks
909,2277221678,Maudit Manege,Philippe Djian,0,Kurtzman Sales Inc
912,0440225825,Move to Strike,Perri O'Shaughnessy,2001,Island
929,0316781266,The Last Time They Met : A Novel,Anita Shreve,2002,Back Bay Books
969,0345446860,Back When We Were Grownups : A Novel (Ballantine Reader's Circle),ANNE TYLER,2002,Ballantine Books
995,0671876244,"Field of Dishonor (Honor Harrington Series, Book 4)",David Weber,1994,Baen
998,0380005239,Go Ask Alice (Avon/Flare Book),James Jennings,1991,Avon Books
1009,1593080255,The Picture of Dorian Gray,Oscar Wilde,2003,Barnes &amp; Noble Books-Imports
1012,0385729340,The Second Summer of the Sisterhood,ANN BRASHARES,2003,Delacorte Books for Young Readers
1031,0446364193,Along Came a Spider (Alex Cross Novels),James Patterson,1993,Warner Books
1096,3379015180,Schlafes Bruder,Robert Schneider,1994,"Reclam, Leipzig"
1103,3404145909,Der Stein der Kelten.,Michael Phillips,2001,LÃ?Â¼bbe
1104,3404148576,Nordermoor,Arnaldur Indridason,2003,LÃ?Â¼bbe
1108,3404921178,Nur der Tod ist ohne Makel.,Ann Granger,2002,LÃ?Â¼bbe
1112,3423071516,Der Kleine Hobbit,J. R. R. Tolkien,2002,Distribooks
1116,3442413508,Auf Ehre und Gewissen. Roman.,Elizabeth George,1992,Goldmann
1119,3442422035,Keiner werfe den ersten Stein. Roman.,Elizabeth George,1993,Goldmann
1121,3442435773,Denn keiner ist ohne Schuld.,Elizabeth George,1996,Goldmann
1124,3442437717,Asche zu Asche.,Elizabeth George,1997,Goldmann
1128,3442441080,Im Angesicht des Feindes.,Elizabeth George,1998,Goldmann
1132,3442444020,Denn sie betrÃ?Â¼gt man nicht.,Elizabeth George,1999,Goldmann
1134,3442446414,Mit dem KÃ?Â¼hlschrank durch Irland.,Tony Hawks,2000,Goldmann
1140,3442448530,Die HirnkÃ?Â¶nigin.,Thea Dorn,2001,Goldmann
1143,3442449820,Undank ist der VÃ?Â¤ter Lohn.,Elizabeth George,2001,Goldmann
1145,347354034X,Die Welle,Rhue,1998,"Ullstein-Taschenbuch-Verlag, Zweigniederlassung der Ullstein Buchverlage GmbH"
1149,349912176X,Inspektor Jury kÃ?Â¼Ã?Â?t die Muse. Roman.,Martha Grimes,2003,Rowohlt Tb.
1150,3551551677,Harry Potter und der Stein der Weisen,Joanne K. Rowling,1999,Carlsen Verlag GmbH
1161,3551551685,Harry Potter und die Kammer des Schreckens,Joanne K. Rowling,2000,Carlsen Verlag GmbH
1171,3551551693,Harry Potter und der Gefangene von Azkaban,J. K. Rowling,1999,Carlsen Verlag GmbH
1180,3551551936,Harry Potter Und Der Feuerkelch,Joanne K. Rowling,1999,Carlsen Verlag GmbH
1189,359621078X,Saemtliche Erzaehlungen,Franz Kafka,0,Fischer Taschenbuch Verlag
1192,360893541X,Die Gefahrten I,J. R. R. Tolkien,2001,Distribooks
1196,3608935428,Die Zwei Turme II,J. R. R. Tolkien,2001,Distribooks
1199,3608935436,Die Wiederkehr Des Konigs III,J. R. R. Tolkien,2001,Distribooks Intl
1202,374661922X,Der Sterne TennisbÃ?Â¤lle.,Stephen Fry,2003,Aufbau Tb
1205,3453042905,Gevatter Tod. Roman. ( Fantasy).,Terry Pratchett,1990,Heyne
1207,3453061187,Die Jury. Roman.,John Grisham,1992,Heyne
1214,3453071174,Die Firma. Roman.,John Grisham,1993,Heyne
1221,3453127013,Der Regenmacher.,John Grisham,1997,Heyne
1227,3453211014,Kaltgestellt.,Colin Forbes,2002,Heyne
1229,3596122279,Das Superwieb,Hera Lind,2002,Distribooks Inc
1233,0449217264,Alaska,James A. Michener,1994,Fawcett Books
1246,055321358X,O Pioneers! (Bantam Classic),Willa Cather,1989,Bantam Books
1247,0671034944,Soul Survivor,Christopher Golden,1999,Simon Pulse
1248,0843946415,Alone with the Dead (Joe Keough Mysteries (Paperback)),Robert J. Randisi,1999,Leisure Books
1249,2253005274,Le Grand Meaulnes (Classiques De Poche),Alain-Fournier,2000,Distribooks Inc
1258,0140328742,The Wonderful Story of Henry Sugar and Six More,Roald Dahl,1988,Penguin USA
