,ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher
0,0446520802,The Notebook,Nicholas Sparks,1996,Warner Books
20,038550120X,A Painted House,JOHN GRISHAM,2001,Doubleday
51,0425115801,Lightning,Dean R. Koontz,1996,Berkley Publishing Group
69,0449006522,Manhattan Hunt Club,JOHN SAUL,2002,Ballantine Books
83,0553561618,Dark Paradise,TAMI HOAG,1994,Bantam
106,055356451X,Night Sins,TAMI HOAG,1995,Bantam
130,0451192001,How Stella Got Her Groove Back,Terry McMillan,1997,Signet Book
137,0671537458,Waiting to Exhale,Terry McMillan,1995,Pocket
146,0684867621,The Girl Who Loved Tom Gordon : A Novel,Stephen King,1999,Scribner
170,0451166892,The Pillars of the Earth,Ken Follett,1996,Signet Book
203,0451167317,The Dark Half,Stephen King,1994,Signet Book
242,043935806X,Harry Potter and the Order of the Phoenix (Book 5),J. K. Rowling,2003,Scholastic
345,0330332775,Bridget Jones's Diary,Helen Fielding,1997,Picador (UK)
368,0440498058,A Wrinkle In Time,MADELEINE L'ENGLE,1998,Yearling
406,0060096195,The Boy Next Door,Meggin Cabot,2002,Avon Trade
428,0786817070,"Artemis Fowl (Artemis Fowl, Book 1)",Eoin Colfer,2002,Miramax Kids
463,0440225825,Move to Strike,Perri O'Shaughnessy,2001,Island
474,0316781266,The Last Time They Met : A Novel,Anita Shreve,2002,Back Bay Books
500,0345446860,Back When We Were Grownups : A Novel (Ballantine Reader's Circle),ANNE TYLER,2002,Ballantine Books
516,0446364193,Along Came a Spider (Alex Cross Novels),James Patterson,1993,Warner Books
554,0345423402,A Kiss of Shadows (Meredith Gentry Novels (Paperback)),LAURELL K. HAMILTON,2002,Ballantine Books
575,0446613843,The Jester,James Patterson,2004,Warner Books
579,0440241537,The King of Torts,JOHN GRISHAM,2003,Dell
599,002542730X,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times,James Finn Garner,1994,John Wiley &amp; Sons Inc
638,0316666343,The Lovely Bones: A Novel,Alice Sebold,2002,"Little, Brown"
833,0385504209,The Da Vinci Code,Dan Brown,2003,Doubleday
988,0804106304,The Joy Luck Club,Amy Tan,1994,Prentice Hall (K-12)
1058,0971880107,Wild Animus,Rich Shapero,2004,Too Far
1143,0060964049,"Tales of the City (Tales of the City Series, V. 1)",Armistead Maupin,1989,Perennial
1157,0439064864,Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling,1999,Scholastic
1229,059035342X,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),J. K. Rowling,1999,Arthur A. Levine Books
1343,0446310786,To Kill a Mockingbird,Harper Lee,1988,Little Brown &amp; Company
1435,0312966970,Four To Score (A Stephanie Plum Novel),Janet Evanovich,1999,St. Martin's Paperbacks
1479,0345354621,The Terminal Man,Michael Crichton,1988,Ballantine Books
1492,0425172546,Southern Cross,Patricia Daniels Cornwell,1999,Berkley Publishing Group
1515,0440220602,The Chamber,John Grisham,1995,Dell Publishing Company
1575,0060930187,The Bell Jar : A Novel (Perennial Classics),Sylvia Plath,2000,Perennial
1589,0375760911,The Idiot Girls' Action Adventure Club,Laurie Notaro,2002,Villard Books
1619,0689817851,Go Ask Alice,Anonymous,1998,Simon Pulse
1638,0671793489,All Around the Town,Mary Higgins Clark,1993,Pocket Star
1663,0312244266,Winter Solstice,Rosamunde Pilcher,2000,Thomas Dunne Books
1671,0671011367,Deja Dead,Kathy Reichs,1998,Pocket
1689,0812511816,"The Eye of the World (The Wheel of Time, Book 1)",Robert Jordan,1990,Tor Fantasy
1711,0061097101,The Saving Graces: A Novel,Patricia Gaffney,2000,HarperTorch
1734,0312983271,Full House (Janet Evanovich's Full Series),Janet Evanovich,2002,St. Martin's Paperbacks
1772,0380731851,Mystic River,Dennis Lehane,2002,HarperTorch
1804,0446605484,Roses Are Red (Alex Cross Novels),James Patterson,2001,Warner Vision
1829,0446611212,Violets Are Blue,James Patterson,2002,Warner Vision
1858,0451188454,The Bone Collector (Lincoln Rhyme Novels (Paperback)),Jeff Deaver,2004,Signet Book
1875,0609804138,The Sweet Potato Queens' Book of Love,JILL CONNER BROWNE,1999,Three Rivers Press
1915,0671003755,She's Come Undone (Oprah's Book Club (Paperback)),Wally Lamb,1996,Washington Square Press
1981,074343627X,Dreamcatcher,Stephen King,2001,Pocket
2000,0330262130,Restaurant At the End of the Universe,Douglas Adams,0,Pan Books Ltd
2013,0385720920,Choke,CHUCK PALAHNIUK,2002,Anchor
2022,0805062971,Fight Club,Chuck Palahniuk,1999,Owl Books
2037,1573229571,About a Boy (Movie Tie-In),Nick Hornby,2002,Riverhead Books
2059,0064407667,"The Bad Beginning (A Series of Unfortunate Events, Book 1)",Lemony Snicket,1999,HarperCollins
2118,081297106X,Reading Lolita in Tehran: A Memoir in Books,Azar Nafisi,2003,Random House Trade Paperbacks
2131,0425191184,Red Rabbit,Tom Clancy,2003,Berkley Publishing Group
2137,0385503822,The Summons,John Grisham,2002,Doubleday Books
2158,0425189864,Mortal Prey,John Sandford,2003,Berkley Publishing Group
2167,0440236053,Writ of Execution,Perri O'Shaughnessy,2002,Dell Publishing Company
2177,0440241073,The Summons,John Grisham,2002,Dell Publishing Company
2218,0553586122,Reap the Wind,Iris Johansen,2002,Bantam Books
2236,0345342968,Fahrenheit 451,RAY BRADBURY,1987,Del Rey
2299,0671027662,Coast Road: A Novel,Barbara Delinsky,1999,Pocket Books
2309,034541389X,Flesh and Blood,Jonathan Kellerman,2002,Ballantine Books
2327,0449221512,I Is for Innocent,Sue Grafton,1994,Fawcett Books
2358,0670894184,Back Roads,Tawni O'Dell,2000,Viking Books
2370,0671024094,The Coffin Dancer (Lincoln Rhyme Novels (Paperback)),Jeffery Deaver,1999,Pocket Books
2381,0425175405,Black Notice,Patricia Daniels Cornwell,2000,Berkley Publishing Group
2408,0440225701,The Street Lawyer,JOHN GRISHAM,1999,Dell
2455,0553263226,The Bourne Supremacy,Robert Ludlum,1987,Bantam
2463,067102423X,Bag of Bones,Stephen King,1999,Pocket
2495,0425178102,Big Trouble,Dave Barry,2001,Berkley Publishing Group
2505,0446609404,Cradle and All,James Patterson,2001,Warner Vision
2534,0446610038,1st to Die: A Novel,James Patterson,2002,Warner Vision
2598,0345404114,Sleepers,Lorenzo Carcaterra,1996,Ballantine Books
2611,0385479565,The Hot Zone,Richard Preston,1995,Anchor
2642,0451173139,Night over Water,Ken Follett,1992,Signet Book
2653,0553580930,A Man in Full,Tom Wolfe,1999,Bantam
2664,0804114986,The Bonesetter's Daughter,Amy Tan,2002,Ballantine Books
2702,0440414806,Holes (Yearling Newbery),LOUIS SACHAR,2000,Yearling
2726,0440224705,Hard Time (V.I. Warshawski Novels (Paperback)),SARA PARETSKY,2000,Dell
2735,0671042858,The Girl Who Loved Tom Gordon,Stephen King,2000,Pocket
2764,0679745203,The English Patient,Michael Ondaatje,1996,Vintage Books USA
2797,0060391626,I Know This Much Is True (Oprah's Book Club),Wally Lamb,1998,Regan Books
2822,0060502258,The Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,2002,HarperTorch
2883,0060987561,I Know This Much Is True,Wally Lamb,1999,Regan Books
2917,0345413881,Dr. Death (Alex Delaware Novels (Paperback)),Jonathan Kellerman,2001,Ballantine Books
2938,0385475721,The Blind Assassin,Margaret Atwood,2000,Nan A. Talese
2950,042511774X,Breathing Lessons,Anne Tyler,1994,Berkley Publishing Group
2971,0440236673,The Brethren,John Grisham,2000,Island
3015,0446604801,Jack &amp; Jill (Alex Cross Novels),James Patterson,1997,Warner Books
3042,0446606189,Cat &amp; Mouse (Alex Cross Novels),James Patterson,1998,Warner Books
3075,0446606383,The Midnight Club,James Patterson,1999,Warner Vision
3089,0446609323,Black Friday,James Patterson,1989,Warner Vision
3104,0449134482,Dances With Wolves,Michael Blake,1990,Fawcett Books
3117,0553268880,The Prince of Tides,Pat Conroy,1987,Bantam Books
3150,0553572997,The Alienist,Caleb Carr,1995,Bantam Books
3193,0671021001,She's Come Undone (Oprah's Book Club),Wally Lamb,1998,Pocket
3264,0671510053,SHIPPING NEWS,Annie Proulx,1994,Scribner
3311,0679746048,"Girl, Interrupted",SUSANNA KAYSEN,1994,Vintage
3352,1558743669,"A Child Called \It\"": One Child's Courage to Survive""",Dave Pelzer,1995,Health Communications
3398,0316969680,The Beach House,James Patterson,2002,"Little, Brown"
3416,0375703861,White Teeth: A Novel,Zadie Smith,2001,Vintage Books USA
3439,0743206045,Daddy's Little Girl,Mary Higgins Clark,2002,Simon &amp; Schuster
3457,0380600129,The Indian in the Cupboard,Lynne Reid Banks,1999,HarperTrophy
3472,044023722X,A Painted House,John Grisham,2001,Dell Publishing Company
3535,0312282990,The Amazing Adventures of Kavalier &amp; Clay,Michael Chabon,2001,Picador
3557,014023313X,The Stone Diaries,Carol Shields,1995,Penguin Books
3580,014029628X,Girl in Hyacinth Blue,Susan Vreeland,2000,Penguin Books
3622,038550926X,The Devil Wears Prada : A Novel,LAUREN WEISBERGER,2003,Doubleday
3648,0449005909,Nightshade,John Saul,2001,Ballantine Books
3656,0345443284,While I Was Gone,Sue Miller,1999,Ballantine Books
3699,0425128164,The Voice of the Night,Dean R. Koontz,1996,Berkley Publishing Group
3720,0316601950,The Pilot's Wife : A Novel,Anita Shreve,1999,Back Bay Books
3803,0452282152,Girl with a Pearl Earring,Tracy Chevalier,2001,Plume Books
3888,0345422384,Pandora: New Tales of the Vampires (New Tales of the Vampires),Anne Rice,1999,Ballantine Books
3903,0552998486,Chocolat,Joanne Harris,2000,Black Swan
3919,0425154092,From Potter's Field,Patricia Daniels Cornwell,1996,Berkley Publishing Group
3958,0060173289,Divine Secrets of the Ya-Ya Sisterhood : A Novel,Rebecca Wells,1996,HarperCollins
3974,0060976845,Little Altars Everywhere: A Novel,Rebecca Wells,1996,Perennial
4039,0156027321,Life of Pi,Yann Martel,2003,Harvest Books
4124,0553576801,The Perfect Husband,LISA GARDNER,1997,Bantam
4143,0312195516,The Red Tent (Bestselling Backlist),Anita Diamant,1998,Picador USA
4256,0385474016,"Like Water for Chocolate: A Novel in Monthly Installments With Recipes, Romances and Home Remedies",Laura Esquivel,1994,Anchor Books/Doubleday
4287,0446608955,A Walk to Remember,Nicholas Sparks,2000,Warner Books
4324,0451137965,Thinner,Stephen King,1985,New Amer Library
4346,0553279378,I Know Why the Caged Bird Sings,MAYA ANGELOU,1983,Bantam
4373,0670892963,Bridget Jones : The Edge of Reason,Helen Fielding,2000,Viking Books
4404,0671028375,Fatal Voyage,Kathy Reichs,2002,Pocket
4426,0671683993,The Temple of My Familiar,Alice Walker,1990,Pocket
