,ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher
0,034545104X,Flesh Tones: A Novel,M. J. Rose,2002,Ballantine Books
20,0446520802,The Notebook,Nicholas Sparks,1996,Warner Books
63,038550120X,A Painted House,JOHN GRISHAM,2001,Doubleday
124,0425115801,Lightning,Dean R. Koontz,1996,Berkley Publishing Group
160,0449006522,Manhattan Hunt Club,JOHN SAUL,2002,Ballantine Books
201,0553561618,Dark Paradise,TAMI HOAG,1994,Bantam
238,055356451X,Night Sins,TAMI HOAG,1995,Bantam
280,0786013990,At the Edge,David Dun,2002,Pinnacle Books
282,0060517794,Little Altars Everywhere,Rebecca Wells,2003,HarperTorch
306,0451192001,How Stella Got Her Groove Back,Terry McMillan,1997,Signet Book
322,0609801279,The Law of Love,Laura Esquivel,1997,Three Rivers Press (CA)
328,0671537458,Waiting to Exhale,Terry McMillan,1995,Pocket
343,0679776818,Birdsong: A Novel of Love and War,Sebastian Faulks,1997,Vintage Books USA
360,0684867621,The Girl Who Loved Tom Gordon : A Novel,Stephen King,1999,Scribner
406,0451166892,The Pillars of the Earth,Ken Follett,1996,Signet Book
470,034544003X,Southampton Row (Charlotte &amp; Thomas Pitt Novels (Hardcover)),Anne Perry,2002,Ballantine Books
474,0380711524,See Jane Run,Joy Fielding,1992,Avon
488,0451167317,The Dark Half,Stephen King,1994,Signet Book
549,3442424216,"Ich, Prinzessin aus dem Hause Al Saud. Ein Leben hinter tausend Schleiern.",Jean P. Sasson,1994,Goldmann
551,3453092007,Die zweite Haut.,Dean Koontz,1995,Heyne
553,0140279091,Saving Private Ryan,Max Allan Collins,1998,Penguin Books Ltd
554,0553572369,Pay Dirt (Mrs. Murphy Mysteries (Paperback)),RITA MAE BROWN,1996,Bantam
561,0571058086,Waiting for Godot,Samuel Beckett,0,Faber Faber Inc
564,3499230933,Adressat unbekannt.,Kathrine Kressmann Taylor,2002,Rowohlt Tb.
569,3442136644,Endlich Nichtraucher.,Allen Carr,1992,Goldmann
571,0345443683,"Blackwood Farm (Rice, Anne, Vampire Chronicles.)",ANNE RICE,2003,Ballantine Books
588,043935806X,Harry Potter and the Order of the Phoenix (Book 5),J. K. Rowling,2003,Scholastic
766,055310666X,False Memory,Dean R. Koontz,1999,Bantam Books
778,0330332775,Bridget Jones's Diary,Helen Fielding,1997,Picador (UK)
838,3423084049,Der Englishche Patient,Michael Ondaatje,0,Deutscher Taschenbuch Verlag (DTV)
843,3446202102,Der GeschichtenverkÃ?Â¤ufer.,Jostein Gaarder,2002,Hanser Belletristik
845,349915398X,Hasenherz. Roman.,John Updike,1976,Rowohlt Tb.
847,3548603203,Artemis Fowl.,Eoin Colfer,2003,Ullstein TB-Vlg
854,0061054143,The X-Files: Goblins,Charles Grant,1994,HarperEntertainment
861,0061054151,Whirlwind (The X-Files),Charles Grant,1995,HarperEntertainment
875,0061056774,The X-Files: Ground Zero,Kevin J. Anderson,1996,HarperEntertainment
884,0671021346,"Blooded (Buffy the Vampire Slayer, Book 5)",Christopher Golden,1998,Simon Spotlight Entertainment
885,0671024108,Speaking in Tongues,Jeffery Deaver,2002,Pocket
910,0064405176,Walk Two Moons,Sharon Creech,1996,HarperTrophy
927,0440498058,A Wrinkle In Time,MADELEINE L'ENGLE,1998,Yearling
991,0440414121,The Watsons Go to Birmingham - 1963 (Yearling Newbery),CHRISTOPHER PAUL CURTIS,1997,Yearling
997,8426449476,El Diaro De Bridget Jones,Helen Fielding,1996,Lumen Espana
1001,0812571029,Uther (Camulod Chronicles),Jack Whyte,2001,Tor Books
1003,0671749609,PERFUME : PERFUME,Patrick Suskind,1991,Washington Square Press
1009,0140062718,The Rebel Angels,Robertson Davies,1983,Penguin Books
1016,0060096195,The Boy Next Door,Meggin Cabot,2002,Avon Trade
1057,0141310340,Skin and Other Stories (Now in Speak!),Roald Dahl,2002,Puffin Books
1061,0375821813,Hoot (Newbery Honor Book),CARL HIAASEN,2002,Knopf Books for Young Readers
1071,038076041X,A Kid's Guide to How to Save the Planet (Camelot world),Billy Goodman,1990,Harpercollins Juvenile Books
1074,0439087597,The Last Book in the Universe,Rodman Philbrick,2002,Scholastic Signature
1081,0439401399,The Contest,Gordon Korman,2002,Scholastic
1083,0689804458,A String in the Harp,Nancy Bond,1996,Aladdin
1087,0786812508,The Sandy Bottom Orchestra,Jenny Nilson,1998,Hyperion Books for Children
