,User-ID,Location,Age
0,2313,"cincinnati, ohio, usa",23
16,8680,"st. charles county, missouri, usa",2
27,10314,"beaverton, oregon, usa",
84,77480,"gig harbor, washington, usa",51
146,94362,"northridge, california, usa",39
153,98391,"morrow, georgia, usa",52
2317,112199,"union, kentucky, usa",72
2326,115435,"cincinnati, ohio, usa",30
2403,128045,"clearwater, florida, usa",41
2416,128276,"los angeles, ,",
2425,188513,"brookfield, wisconsin, usa",44
2444,208406,"kansas city, missouri, usa",30
2530,210597,"lake winnebago, missouri, usa",38
2554,227886,"charlotte, north carolina, usa",1
2558,240144,"muskego, wisconsin, usa",34
2677,243142,"westerville, ohio, usa",51
2685,244420,"kenmore, ,",
2733,257492,"san diego, ,",
2748,260897,"chicago, illinois, usa",25
2800,274925,"enfield, connecticut, usa",
2808,7158,"omaha, nebraska, usa",30
2854,8253,"tulsa, oklahoma, usa",26
2914,11676,"n/a, n/a, n/a",
7508,12589,"lincoln, nebraska, usa",
7510,13279,"moodus, connecticut, usa",
7523,19371,"royal oak, michigan, usa",52
7527,23768,"st. louis, missouri, usa",45
7626,24878,"ottawa, ontario, canada",
7636,27617,"beaverton, ontario, canada",32
7674,30261,"manchester, missouri, usa",27
7687,30711,"sydney, new south wales, australia",32
7771,35845,"rochester, new hampshire, usa",
7779,63507,"lomita, california, usa",
7790,64679,"buffalo grove, illinois, usa",
7804,85993,"portland, oregon, usa",40
7858,91761,"minneapolis, minnesota, usa",
7872,99720,"dahlonega, georgia, usa",
7901,139064,"wylie, texas, usa",
7904,141444,"west springfield, massachusetts,",
7989,152376,"boston, massachusetts, usa",38
7991,153718,"round lake, illinois, usa",27
8058,154992,"maryland heights, missouri, usa",40
8096,158295,"cleveland, ohio, usa",
8504,167812,"vancouver, washington, usa",38
8538,169699,"vadnais heights, minnesota, usa",40
8571,169784,"cincinnati, ohio, usa",52
8575,172539,"lakewood, california, usa",
8588,181687,"austin, texas, usa",29
8649,185233,"winnemucca, nevada, usa",31
8910,187863,"greenwood, south carolina, usa",33
8940,190374,"kamloops, british columbia, canada",38
8961,192095,"madison, wisconsin, usa",50
8966,200226,"burlington, ontario, canada",39
9133,201036,"virginia beach, virginia, usa",
9146,208671,"simi valley, california, usa",
9237,218875,"wilkes-barre, pennsylvania, usa",28
9246,239135,"mobile, alabama, usa",39
9249,240756,"guyton, georgia, usa",41
9275,245568,"springport, michigan, usa",
9293,248477,"dandridge, tennessee, usa",17
9360,265383,"awendaw, south carolina, usa",
9368,268540,"st. louis, missouri, usa",19
9386,268751,"sheboygan, wisconsin, usa",34
9416,16877,"houston, arkansas, usa",37
9425,17975,"fargo, north dakota, usa",
9426,20806,"union, kentucky, usa",
9430,21356,"westwood, new jersey, usa",56
9454,22625,"lynbrook, new york, usa",54
9534,29168,"beacon, new york, usa",
9539,31315,"henryville, indiana, usa",34
9777,32188,"st. louis, missouri, usa",51
9789,33974,"barnhart, missouri, usa",24
9831,34588,"west linn, oregon, usa",
9875,53220,"fullerton, california, usa",36
9981,53614,"barreiro, barreiro, portugal",30
10016,60337,"st. marys, georgia, usa",50
10078,64436,"san ramon, california, usa",36
10118,75819,"west falls, new york, usa",
10185,76151,"sioux falls, south dakota, usa",49
10359,76351,"clarksville, tennessee, usa",34
10372,76851,"saginaw, michigan, usa",31
10373,100471,"new albany, indiana, usa",39
10380,100846,"plainfield, illinois, usa",39
10448,101226,"corsicana, texas, usa",59
10451,104051,"vacaville, california, usa",29
10462,109180,"huntington beach, california,",60
10467,111174,"austin, texas, usa",
10510,111358,"cameron, west virginia, usa",69
10515,113425,"chicago, illinois, usa",47
10517,114368,"mechanicsville, maryland, usa",33
11022,115003,"asheville, north carolina, usa",43
11139,116904,"san antonio, texas, usa",38
11168,125519,"irvine, california, usa",40
11249,130571,"summerville, south carolina, usa",
11362,136439,"palm bay, florida, usa",36
11365,140358,"san diego, california, usa",
11542,141719,"houston, texas, usa",
11558,145641,"madison, new jersey, usa",
11602,147224,"mechanicsburg, pennsylvania, usa",41
11634,149069,"struthers, ohio, usa",30
11678,152354,"boston, massachusetts, usa",
11692,187256,"citrus heights, california, usa",
11791,187621,"leidschendam, zuid-holland, netherlands",39
11796,193778,"dallas, georgia, usa",
11867,197206,"virginia beach, virginia, usa",
11886,198213,"williamsburg/norfolk, virginia, usa",19
11904,200422,"plainfield, illinois, usa",29
11928,203506,"rye brook, new york, usa",18
11940,210485,"carmichael, california, usa",35
12091,212568,"huntington beach, california, usa",
12105,215988,"lake oswego, oregon, usa",42
12155,218615,"snoqualmie, washington, usa",
12169,235146,"oak park, illinois, usa",39
12186,240643,"niceville, florida, usa",
12208,251164,"trabuco canyon, california, usa",59
12237,252820,"montreal, quebec, canada",33
12318,253780,"fredericton, new brunswick,",25
12322,254053,"hackettstown, new jersey, usa",27
12336,258334,"pinckney, michigan, usa",31
12339,259259,"woodruff, south carolina, usa",30
12364,259629,"carrollton, texas, usa",51
12429,265202,"manchester, vermont, usa",38
12435,2288,"spring hill, tennessee, usa",30
12446,4938,"charleston, south carolina, usa",30
12462,9856,"glendale, colorado, usa",22
12509,13552,"cordova, tennessee, usa",32
12706,16795,"mechanicsville, maryland, usa",47
13330,25545,"hollsopple, pennsylvania, usa",33
13341,25981,"nj, new jersey, usa",
13518,31826,"jasper, missouri, usa",54
13723,48025,"concordia, missouri, usa",43
13834,55789,"pittsburgh, pennsylvania, usa",35
13845,58224,"lake park, georgia, usa",
13857,68185,"virginia beach, virginia, usa",22
13902,92658,"burlington, washington, usa",39
13910,101620,"brookland, arkansas, usa",
13940,107784,"tarentum, pennsylvania, usa",
14206,124474,"canon city, colorado, usa",53
14215,128404,"fall river, massachusetts, usa",30
14218,133738,"indianapolis, indiana, usa",28
14230,135045,"spring, texas, usa",29
14291,152099,"wickenburg, arizona, usa",14
14330,154944,"colony, kansas, usa",33
14353,168064,"fredericton, new brunswick, canada",
14399,171968,"irving, texas, usa",23
14421,175978,"somewhere, new jersey, usa",27
14439,184299,"omaha, nebraska, usa",31
14544,185722,"long beach, california, usa",24
14573,212427,"narragansett, rhode island, usa",
14583,216683,"san jose, california, usa",
14750,224146,"sarnia, ontario, canada",35
14767,235684,"miami, florida, usa",26
14776,246000,"saratoga, california, usa",20
14789,250016,"houston, texas, usa",17
14791,257024,"houston, ,",38
14813,260699,"toledo, ohio, usa",42
14831,278026,"east orange, new jersey, usa",56
14870,243,"arden hills, minnesota, usa",
14887,16106,"albany, california, usa",44
14936,22045,"sacramento, california, usa",
14954,23459,"knowlesville, new brunswick, canada",
14962,23511,"chapel hill, north carolina, usa",56
14986,28222,"san diego, california, usa",23
14996,30029,"simi valley, california, usa",37
15015,33570,"ferguson, missouri, usa",
15020,38660,"ottawa, ontario, canada",40
15048,40937,"sacramento, california, usa",42
15049,53575,"watkins glen, new york, usa",30
15058,54925,"san francisco, california, usa",
15059,58319,"san diego, ,",
15063,61216,"bettendorf, iowa, usa",
15071,92810,"manistee, michigan, usa",60
15172,114662,"florenceville, new brunswick, canada",
15178,115998,"torrington, connecticut, usa",49
15187,119631,"madison, wisconsin, usa",46
15199,129489,"vancouver, british columbia, canada",24
15224,151643,"burtchville twp., michigan, usa",
15229,163690,"mason, ohio, usa",31
15232,169181,"trinity center, california, usa",53
15236,187517,"brooklyn, new york, usa",28
15349,192914,"cobourg, ontario, canada",
15355,193458,"toronto, ontario, canada",40
15421,207249,"memphis, tennessee, usa",59
15424,208829,"fredericton, new brunswick, canada",
15495,213664,"tampa, florida, usa",
15502,219683,"santa ana, california, usa",32
15636,225199,"toronto, ontario, canada",54
15738,231252,"woodstock, ,",
15743,232945,"newport, rhode island, usa",28
15832,256882,"burlingame, california, usa",
15836,260967,"ewa beach, hawaii, usa",
15842,268315,"littleton, colorado, usa",
15849,276038,"oklahoma city, oklahoma, usa",27
15862,1660,"fort worth, texas, usa",
15869,12824,"long beach, california, usa",18
15917,23872,"tulsa, oklahoma, usa",22
16075,26620,"napa, california,",
16101,48046,"central sq., new york, usa",
16143,52472,"frisco/dallas, texas, usa",209
16149,55892,"plantersville, texas, usa",45
16214,70052,"st. john`s, ontario, canada",30
16255,70415,"crescent city, florida, usa",57
16339,76102,"buckfield, maine, usa",33
16356,78973,"amadora, lisboa, portugal",29
16614,84795,"alpharetta, ,",
16660,110373,"livingston, new jersey, usa",
16704,117553,"gaithersburg, maryland, usa",
16710,143837,"san antonio, texas, usa",28
16731,144478,"galveston, texas, usa",39
16755,146207,"lubbock, texas, usa",36
16765,154469,"trois-rivières ouest, quebec, canada",
16826,179718,"leroy, ,",39
16928,182085,"ginsheim, hessen, germany",
17239,196468,"houston, texas, usa",57
17242,201969,"vancouver, british columbia, canada",
17305,207349,"seadrift, texas, usa",25
17367,213523,"brookville, pennsylvania, usa",
17404,217318,"sackville, new brunswick, canada",
17525,220597,"toronto, ontario, canada",26
17582,238419,"lapeer, michigan, usa",
17598,238889,"clark fork, idaho, usa",33
17648,242477,"boise, idaho, usa",
17652,251843,"homer city, pennsylvania, usa",
17783,252347,"springfield, virginia, usa",52
17817,255699,"everett, washington, usa",23
17819,17859,"roanoke, virginia, usa",43
17840,26516,"victor, montana, usa",67
17861,30972,"columbiana, alabama, usa",47
17903,72636,"north richland hills, texas, usa",
17913,87712,"yarmouth, nova scotia, canada",19
17963,93179,"san diego, california, usa",
18012,95049,"alverca, ribatejo, portugal",25
18014,112845,"fort langley, british columbia, canada",
18028,113270,"evanston, illinois, usa",25
18112,120030,"spirit lake, iowa, usa",
18118,126736,"fulton, missouri, usa",38
18206,137688,"medford, new york, usa",46
18271,144619,"albany, oregon, usa",
18288,148590,"thunder bay, ontario, canada",49
18311,152186,"windsor, ontario, canada",33
18375,157247,"deventer, overijssel, netherlands",48
18468,173481,"arlington, texas, usa",69
18501,190459,"schertz, texas, usa",40
18517,196891,"quinton,, virginia, usa",63
18534,207971,"greenville, florida, usa",53
18547,208382,"fontana, california, usa",53
18564,208568,"fontana, california, usa",
18585,223326,"climax springs, missouri, usa",30
18590,225087,"toronto, ontario, canada",51
18782,225449,"goodyear, arizona, usa",57
18792,245534,"toronto, ontario, canada",
18809,247664,"london, ontario, canada",
18821,247752,"wake forest, north carolina, usa",30
18861,254144,"collinsville, texas, usa",23
18882,258185,"livermore, maine, usa",37
19064,258270,"fpo, ap, okinawa, japan",
19104,258884,"belvidere, illinois, usa",
19154,261780,"gardner, kansas, usa",52
19160,262541,"pierrefonds, quebec, canada",
19180,152835,"brooklyn, new york, usa",
19182,276747,"iowa city, iowa, usa",25
19185,278843,"pismo beach, california, usa",28
19198,4017,"new orleans, louisiana, usa",48
19324,8961,"dekalb, illinois, usa",28
19328,26883,"vienna, vienna, austria",
19371,34987,"omaha, nebraska, usa",37
19385,37227,"hamilton, ohio, usa",27
19409,52584,"livermore, california, usa",45
19512,86548,"ploiesti, prahova, romania",24
19520,88123,"norman, oklahoma, usa",53
19525,96357,"aiken, south carolina, usa",31
19592,110382,"brooklyn, new york, usa",35
19612,135149,"ft. pierce, florida, usa",
19977,147528,"regina, saskatchewan, canada",
19983,158583,"asheboro, north carolina, usa",40
19987,163467,"meridian, mississippi, usa",28
19996,164323,"delta, british columbia, canada",31
20084,164956,"waterdown, ontario, canada",44
20088,201697,"markham, ontario, canada",29
20106,202277,"kennesaw, georgia, usa",54
20158,231838,"morgan hill, california, usa",36
20162,246634,"dana point, california, usa",
20183,249746,"lincoln, california, usa",46
20190,271016,"green bay, wisconsin, usa",0
20195,20119,"manchester, new hampshire,",51
20205,26057,"halifax, nova scotia, canada",18
20225,47925,"lynnwood, washington, usa",
20232,47982,"orlando, florida, usa",20
20236,79961,"hickory, north carolina, usa",23
20257,83287,"tulsa, oklahoma, usa",45
20333,95658,"whonnock, british columbia, canada",60
20338,107109,"williams lake, british columbia, canada",
