,ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher
0,034545104X,Flesh Tones: A Novel,M. J. Rose,2002,Ballantine Books
18,0446520802,The Notebook,Nicholas Sparks,1996,Warner Books
52,038550120X,A Painted House,JOHN GRISHAM,2001,Doubleday
98,0425115801,Lightning,Dean R. Koontz,1996,Berkley Publishing Group
128,0449006522,Manhattan Hunt Club,JOHN SAUL,2002,Ballantine Books
149,0553561618,Dark Paradise,TAMI HOAG,1994,Bantam
178,055356451X,Night Sins,TAMI HOAG,1995,Bantam
216,0060517794,Little Altars Everywhere,Rebecca Wells,2003,HarperTorch
231,0451192001,How Stella Got Her Groove Back,Terry McMillan,1997,Signet Book
242,0609801279,The Law of Love,Laura Esquivel,1997,Three Rivers Press (CA)
246,0671537458,Waiting to Exhale,Terry McMillan,1995,Pocket
259,0679776818,Birdsong: A Novel of Love and War,Sebastian Faulks,1997,Vintage Books USA
272,0684867621,The Girl Who Loved Tom Gordon : A Novel,Stephen King,1999,Scribner
309,0451166892,The Pillars of the Earth,Ken Follett,1996,Signet Book
362,034544003X,Southampton Row (Charlotte &amp; Thomas Pitt Novels (Hardcover)),Anne Perry,2002,Ballantine Books
366,0380711524,See Jane Run,Joy Fielding,1992,Avon
377,0451167317,The Dark Half,Stephen King,1994,Signet Book
428,0553572369,Pay Dirt (Mrs. Murphy Mysteries (Paperback)),RITA MAE BROWN,1996,Bantam
434,3499230933,Adressat unbekannt.,Kathrine Kressmann Taylor,2002,Rowohlt Tb.
435,3442136644,Endlich Nichtraucher.,Allen Carr,1992,Goldmann
436,0345443683,"Blackwood Farm (Rice, Anne, Vampire Chronicles.)",ANNE RICE,2003,Ballantine Books
447,043935806X,Harry Potter and the Order of the Phoenix (Book 5),J. K. Rowling,2003,Scholastic
596,055310666X,False Memory,Dean R. Koontz,1999,Bantam Books
606,0330332775,Bridget Jones's Diary,Helen Fielding,1997,Picador (UK)
647,3423084049,Der Englishche Patient,Michael Ondaatje,0,Deutscher Taschenbuch Verlag (DTV)
648,3548603203,Artemis Fowl.,Eoin Colfer,2003,Ullstein TB-Vlg
652,0061054143,The X-Files: Goblins,Charles Grant,1994,HarperEntertainment
656,0061054151,Whirlwind (The X-Files),Charles Grant,1995,HarperEntertainment
667,0061056774,The X-Files: Ground Zero,Kevin J. Anderson,1996,HarperEntertainment
674,0671024108,Speaking in Tongues,Jeffery Deaver,2002,Pocket
690,0064405176,Walk Two Moons,Sharon Creech,1996,HarperTrophy
703,0440498058,A Wrinkle In Time,MADELEINE L'ENGLE,1998,Yearling
756,0440414121,The Watsons Go to Birmingham - 1963 (Yearling Newbery),CHRISTOPHER PAUL CURTIS,1997,Yearling
757,0671749609,PERFUME : PERFUME,Patrick Suskind,1991,Washington Square Press
763,0140062718,The Rebel Angels,Robertson Davies,1983,Penguin Books
768,0060096195,The Boy Next Door,Meggin Cabot,2002,Avon Trade
800,0375821813,Hoot (Newbery Honor Book),CARL HIAASEN,2002,Knopf Books for Young Readers
805,0786817070,"Artemis Fowl (Artemis Fowl, Book 1)",Eoin Colfer,2002,Miramax Kids
859,2253044903,Le Parfum : Histoire d'un meurtrier,Patrick SÃ?Â¼skind,1988,LGF
872,2253150711,Stupeur Et Tremblements,Amelie Nothomb,2001,Distribooks
885,0440225825,Move to Strike,Perri O'Shaughnessy,2001,Island
902,0316781266,The Last Time They Met : A Novel,Anita Shreve,2002,Back Bay Books
942,0345446860,Back When We Were Grownups : A Novel (Ballantine Reader's Circle),ANNE TYLER,2002,Ballantine Books
968,0380005239,Go Ask Alice (Avon/Flare Book),James Jennings,1991,Avon Books
979,1593080255,The Picture of Dorian Gray,Oscar Wilde,2003,Barnes &amp; Noble Books-Imports
982,0385729340,The Second Summer of the Sisterhood,ANN BRASHARES,2003,Delacorte Books for Young Readers
1001,0446364193,Along Came a Spider (Alex Cross Novels),James Patterson,1993,Warner Books
1066,3379015180,Schlafes Bruder,Robert Schneider,1994,"Reclam, Leipzig"
1073,3404148576,Nordermoor,Arnaldur Indridason,2003,LÃ?Â¼bbe
1077,3423071516,Der Kleine Hobbit,J. R. R. Tolkien,2002,Distribooks
1081,3442413508,Auf Ehre und Gewissen. Roman.,Elizabeth George,1992,Goldmann
1084,3442437717,Asche zu Asche.,Elizabeth George,1997,Goldmann
1088,3442444020,Denn sie betrÃ?Â¼gt man nicht.,Elizabeth George,1999,Goldmann
1090,3442446414,Mit dem KÃ?Â¼hlschrank durch Irland.,Tony Hawks,2000,Goldmann
1096,3442448530,Die HirnkÃ?Â¶nigin.,Thea Dorn,2001,Goldmann
1099,3551551677,Harry Potter und der Stein der Weisen,Joanne K. Rowling,1999,Carlsen Verlag GmbH
1110,3551551685,Harry Potter und die Kammer des Schreckens,Joanne K. Rowling,2000,Carlsen Verlag GmbH
1120,3551551693,Harry Potter und der Gefangene von Azkaban,J. K. Rowling,1999,Carlsen Verlag GmbH
1129,3551551936,Harry Potter Und Der Feuerkelch,Joanne K. Rowling,1999,Carlsen Verlag GmbH
1138,3453061187,Die Jury. Roman.,John Grisham,1992,Heyne
1145,3453071174,Die Firma. Roman.,John Grisham,1993,Heyne
1152,3453127013,Der Regenmacher.,John Grisham,1997,Heyne
1158,3596122279,Das Superwieb,Hera Lind,2002,Distribooks Inc
1162,0449217264,Alaska,James A. Michener,1994,Fawcett Books
1175,0843946415,Alone with the Dead (Joe Keough Mysteries (Paperback)),Robert J. Randisi,1999,Leisure Books
1176,2253005274,Le Grand Meaulnes (Classiques De Poche),Alain-Fournier,2000,Distribooks Inc
1185,0140328742,The Wonderful Story of Henry Sugar and Six More,Roald Dahl,1988,Penguin USA
1188,0836218833,Attack Of The Deranged Mutant Killer Snow Goons,Bill Watterson,1992,Andrews McMeel Publishing
1205,0836220889,Calvin and Hobbes,Bill Watterson,1987,Andrews McMeel Publishing
1225,088365721X,"The Best of Bombeck: At Wit's End, Just Wait Until You Have Children of Your Own, I Lost Everything in the Post-Natal Depression",Erma Bombeck,1994,BBS Publishing Corporation
1228,3257227264,Die HÃ?Â¤upter meiner Lieben.,Ingrid Noll,2000,Diogenes Verlag
1234,3423201509,Die Weiss Lowin / Contemporary German Lit,Henning Mankell,2002,Distribooks
1246,0345423402,A Kiss of Shadows (Meredith Gentry Novels (Paperback)),LAURELL K. HAMILTON,2002,Ballantine Books
1273,3404131606,Nachtschicht.,Stephen King,2003,LÃ?Â¼bbe
1278,3404139178,Das Lacheln der Fortuna: Historischer Roman,Rebecca Gable,1997,LÃ?Â¼bbe
1284,3442421357,Im Eishaus.,Minette Walters,1996,Goldmann
1288,345309221X,Die Zauberin von Ruwenda.,Marion Zimmer Bradley,1995,Heyne
1291,3596129389,Die Zauberfrau.,Hera Lind,1995,"Fischer (Tb.), Frankfurt"
1295,3596237874,Beim Naechsten Mann Wird Alles (Frau in Der Gesellschaft),Eva Heller,1997,Fischer Taschenbuch Verlag GmbH
1299,3596247500,Ein Mann fÃ?Â¼r jede Tonart. Roman. ( Die Frau in der Gesellschaft).,Hera Lind,2000,"Fischer (Tb.), Frankfurt"
1304,044020562X,One,Richard Bach,1989,Dell
1317,042518109X,Whispers,Dean R. Koontz,2001,Berkley Publishing Group
1327,0425188221,Shadowland,Peter Straub,2003,Berkley Publishing Group
1329,0688172377,Desert Flower : The Extraordinary Journey Of A Desert Nomad,Waris Dirie,1999,Perennial
1333,8806155873,Un Giorno Dopo L'altro,Carlo Lucarelli,2000,Einaudi
1334,8817106100,Oceano Mare,Alessandro Baricco,0,Biblioteca Universale Rizzoli
1340,0151446474,The Name of the Rose,Umberto Eco,1983,Harcourt
1347,0064430227,Harold and the Purple Crayon 50th Anniversary Edition (Purple Crayon Books),Crockett Johnson,1981,HarperTrophy
1351,0671723650,How To Win Friends And Influence People,Dale Carnegie,1990,Pocket
1359,0812533550,Ender's Game (Ender Wiggins Saga (Paperback)),Orson Scott Card,1986,Tor Books
1367,884590184X,Siddharta Romanzo Versione Di M Mila,Hermann Hesse,0,Adelphi Book Shop Ltd
1368,0446613843,The Jester,James Patterson,2004,Warner Books
1380,0440241537,The King of Torts,JOHN GRISHAM,2003,Dell
1430,0060542845,The Holiday Present,Johanna Lindsey,2003,Avon Books
1436,1551666308,"Roan (Blake, Jennifer, Louisiana Gentlemen Series.)",Jennifer Blake,2000,Mira
1437,042513976X,Close to the Bone,David Wiltse,1993,Berkley Publishing Group
1438,0441008291,The Tower at Stony Wood,Patricia A. McKillip,2001,Ace Books
1440,002542730X,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times,James Finn Garner,1994,John Wiley &amp; Sons Inc
1490,0060520507,"Sushi for Beginners : A Novel (Keyes, Marian)",Marian Keyes,2003,William Morrow
