,User-ID,Location,Age
0,10314,"beaverton, oregon, usa",
50,77480,"gig harbor, washington, usa",51
104,98391,"morrow, georgia, usa",52
1196,115435,"cincinnati, ohio, usa",30
1265,208406,"kansas city, missouri, usa",30
1335,240144,"muskego, wisconsin, usa",34
1425,244420,"kenmore, ,",
1466,260897,"chicago, illinois, usa",25
1516,7158,"omaha, nebraska, usa",30
1557,8253,"tulsa, oklahoma, usa",26
1612,11676,"n/a, n/a, n/a",
4867,23768,"st. louis, missouri, usa",45
4944,27617,"beaverton, ontario, canada",32
4974,30261,"manchester, missouri, usa",27
4983,30711,"sydney, new south wales, australia",32
5046,85993,"portland, oregon, usa",40
5092,141444,"west springfield, massachusetts,",
5169,153718,"round lake, illinois, usa",27
5232,154992,"maryland heights, missouri, usa",40
5259,158295,"cleveland, ohio, usa",
5572,169699,"vadnais heights, minnesota, usa",40
5601,181687,"austin, texas, usa",29
5658,185233,"winnemucca, nevada, usa",31
5823,200226,"burlington, ontario, canada",39
5965,208671,"simi valley, california, usa",
6045,240756,"guyton, georgia, usa",41
6065,248477,"dandridge, tennessee, usa",17
6121,268751,"sheboygan, wisconsin, usa",34
6147,21356,"westwood, new jersey, usa",56
6169,22625,"lynbrook, new york, usa",54
6242,31315,"henryville, indiana, usa",34
6449,33974,"barnhart, missouri, usa",24
6482,34588,"west linn, oregon, usa",
6523,53220,"fullerton, california, usa",36
6621,53614,"barreiro, barreiro, portugal",30
6654,60337,"st. marys, georgia, usa",50
6692,64436,"san ramon, california, usa",36
6731,75819,"west falls, new york, usa",
6786,76151,"sioux falls, south dakota, usa",49
6944,100846,"plainfield, illinois, usa",39
7004,111174,"austin, texas, usa",
7040,114368,"mechanicsville, maryland, usa",33
7465,115003,"asheville, north carolina, usa",43
7562,125519,"irvine, california, usa",40
7633,130571,"summerville, south carolina, usa",
7726,140358,"san diego, california, usa",
7882,145641,"madison, new jersey, usa",
7915,147224,"mechanicsburg, pennsylvania, usa",41
7941,149069,"struthers, ohio, usa",30
7978,152354,"boston, massachusetts, usa",
7992,187256,"citrus heights, california, usa",
8080,193778,"dallas, georgia, usa",
8144,200422,"plainfield, illinois, usa",29
8164,210485,"carmichael, california, usa",35
8293,215988,"lake oswego, oregon, usa",42
8341,252820,"montreal, quebec, canada",33
8408,259629,"carrollton, texas, usa",51
8468,9856,"glendale, colorado, usa",22
8506,13552,"cordova, tennessee, usa",32
8689,16795,"mechanicsville, maryland, usa",47
9172,25981,"nj, new jersey, usa",
9310,31826,"jasper, missouri, usa",54
9458,48025,"concordia, missouri, usa",43
9548,68185,"virginia beach, virginia, usa",22
9580,107784,"tarentum, pennsylvania, usa",
9771,135045,"spring, texas, usa",29
9829,152099,"wickenburg, arizona, usa",14
9860,154944,"colony, kansas, usa",33
9877,168064,"fredericton, new brunswick, canada",
9921,171968,"irving, texas, usa",23
9938,184299,"omaha, nebraska, usa",31
10017,216683,"san jose, california, usa",
