,ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher
0,0446520802,The Notebook,Nicholas Sparks,1996,Warner Books
56,038550120X,A Painted House,JOHN GRISHAM,2001,Doubleday
137,0425115801,Lightning,Dean R. Koontz,1996,Berkley Publishing Group
178,0449006522,Manhattan Hunt Club,JOHN SAUL,2002,Ballantine Books
229,0553561618,Dark Paradise,TAMI HOAG,1994,Bantam
270,055356451X,Night Sins,TAMI HOAG,1995,Bantam
326,0451192001,How Stella Got Her Groove Back,Terry McMillan,1997,Signet Book
345,0671537458,Waiting to Exhale,Terry McMillan,1995,Pocket
362,0684867621,The Girl Who Loved Tom Gordon : A Novel,Stephen King,1999,Scribner
422,0451166892,The Pillars of the Earth,Ken Follett,1996,Signet Book
509,0451167317,The Dark Half,Stephen King,1994,Signet Book
577,043935806X,Harry Potter and the Order of the Phoenix (Book 5),J. K. Rowling,2003,Scholastic
783,0330332775,Bridget Jones's Diary,Helen Fielding,1997,Picador (UK)
855,0440498058,A Wrinkle In Time,MADELEINE L'ENGLE,1998,Yearling
936,0060096195,The Boy Next Door,Meggin Cabot,2002,Avon Trade
989,0786817070,"Artemis Fowl (Artemis Fowl, Book 1)",Eoin Colfer,2002,Miramax Kids
1063,0440225825,Move to Strike,Perri O'Shaughnessy,2001,Island
1094,0316781266,The Last Time They Met : A Novel,Anita Shreve,2002,Back Bay Books
1176,0345446860,Back When We Were Grownups : A Novel (Ballantine Reader's Circle),ANNE TYLER,2002,Ballantine Books
1244,0446364193,Along Came a Spider (Alex Cross Novels),James Patterson,1993,Warner Books
1360,0345423402,A Kiss of Shadows (Meredith Gentry Novels (Paperback)),LAURELL K. HAMILTON,2002,Ballantine Books
1402,0446613843,The Jester,James Patterson,2004,Warner Books
1429,0440241537,The King of Torts,JOHN GRISHAM,2003,Dell
1521,002542730X,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times,James Finn Garner,1994,John Wiley &amp; Sons Inc
1598,0316666343,The Lovely Bones: A Novel,Alice Sebold,2002,"Little, Brown"
2305,0385504209,The Da Vinci Code,Dan Brown,2003,Doubleday
2792,0804106304,The Joy Luck Club,Amy Tan,1994,Prentice Hall (K-12)
2986,0971880107,Wild Animus,Rich Shapero,2004,Too Far
3567,0060964049,"Tales of the City (Tales of the City Series, V. 1)",Armistead Maupin,1989,Perennial
3608,0439064864,Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling,1999,Scholastic
3734,059035342X,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),J. K. Rowling,1999,Arthur A. Levine Books
4047,0446310786,To Kill a Mockingbird,Harper Lee,1988,Little Brown &amp; Company
4261,0312966970,Four To Score (A Stephanie Plum Novel),Janet Evanovich,1999,St. Martin's Paperbacks
4364,0345354621,The Terminal Man,Michael Crichton,1988,Ballantine Books
4394,0425172546,Southern Cross,Patricia Daniels Cornwell,1999,Berkley Publishing Group
4446,0440220602,The Chamber,John Grisham,1995,Dell Publishing Company
4592,0060930187,The Bell Jar : A Novel (Perennial Classics),Sylvia Plath,2000,Perennial
4634,0375760911,The Idiot Girls' Action Adventure Club,Laurie Notaro,2002,Villard Books
