,ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher
0,034545104X,Flesh Tones: A Novel,M. J. Rose,2002,Ballantine Books
17,0446520802,The Notebook,Nicholas Sparks,1996,Warner Books
49,038550120X,A Painted House,JOHN GRISHAM,2001,Doubleday
92,0425115801,Lightning,Dean R. Koontz,1996,Berkley Publishing Group
121,0449006522,Manhattan Hunt Club,JOHN SAUL,2002,Ballantine Books
140,0553561618,Dark Paradise,TAMI HOAG,1994,Bantam
169,055356451X,Night Sins,TAMI HOAG,1995,Bantam
205,0060517794,Little Altars Everywhere,Rebecca Wells,2003,HarperTorch
219,0451192001,How Stella Got Her Groove Back,Terry McMillan,1997,Signet Book
230,0609801279,The Law of Love,Laura Esquivel,1997,Three Rivers Press (CA)
233,0671537458,Waiting to Exhale,Terry McMillan,1995,Pocket
246,0679776818,Birdsong: A Novel of Love and War,Sebastian Faulks,1997,Vintage Books USA
259,0684867621,The Girl Who Loved Tom Gordon : A Novel,Stephen King,1999,Scribner
295,0451166892,The Pillars of the Earth,Ken Follett,1996,Signet Book
345,034544003X,Southampton Row (Charlotte &amp; Thomas Pitt Novels (Hardcover)),Anne Perry,2002,Ballantine Books
349,0380711524,See Jane Run,Joy Fielding,1992,Avon
360,0451167317,The Dark Half,Stephen King,1994,Signet Book
410,0553572369,Pay Dirt (Mrs. Murphy Mysteries (Paperback)),RITA MAE BROWN,1996,Bantam
415,3499230933,Adressat unbekannt.,Kathrine Kressmann Taylor,2002,Rowohlt Tb.
416,3442136644,Endlich Nichtraucher.,Allen Carr,1992,Goldmann
417,0345443683,"Blackwood Farm (Rice, Anne, Vampire Chronicles.)",ANNE RICE,2003,Ballantine Books
427,043935806X,Harry Potter and the Order of the Phoenix (Book 5),J. K. Rowling,2003,Scholastic
574,055310666X,False Memory,Dean R. Koontz,1999,Bantam Books
584,0330332775,Bridget Jones's Diary,Helen Fielding,1997,Picador (UK)
623,3423084049,Der Englishche Patient,Michael Ondaatje,0,Deutscher Taschenbuch Verlag (DTV)
624,3548603203,Artemis Fowl.,Eoin Colfer,2003,Ullstein TB-Vlg
627,0061054143,The X-Files: Goblins,Charles Grant,1994,HarperEntertainment
631,0061054151,Whirlwind (The X-Files),Charles Grant,1995,HarperEntertainment
641,0061056774,The X-Files: Ground Zero,Kevin J. Anderson,1996,HarperEntertainment
648,0671024108,Speaking in Tongues,Jeffery Deaver,2002,Pocket
663,0064405176,Walk Two Moons,Sharon Creech,1996,HarperTrophy
675,0440498058,A Wrinkle In Time,MADELEINE L'ENGLE,1998,Yearling
727,0671749609,PERFUME : PERFUME,Patrick Suskind,1991,Washington Square Press
733,0140062718,The Rebel Angels,Robertson Davies,1983,Penguin Books
738,0060096195,The Boy Next Door,Meggin Cabot,2002,Avon Trade
769,0375821813,Hoot (Newbery Honor Book),CARL HIAASEN,2002,Knopf Books for Young Readers
773,0786817070,"Artemis Fowl (Artemis Fowl, Book 1)",Eoin Colfer,2002,Miramax Kids
825,2253044903,Le Parfum : Histoire d'un meurtrier,Patrick SÃ?Â¼skind,1988,LGF
838,2253150711,Stupeur Et Tremblements,Amelie Nothomb,2001,Distribooks
851,0440225825,Move to Strike,Perri O'Shaughnessy,2001,Island
868,0316781266,The Last Time They Met : A Novel,Anita Shreve,2002,Back Bay Books
906,0345446860,Back When We Were Grownups : A Novel (Ballantine Reader's Circle),ANNE TYLER,2002,Ballantine Books
928,0380005239,Go Ask Alice (Avon/Flare Book),James Jennings,1991,Avon Books
939,1593080255,The Picture of Dorian Gray,Oscar Wilde,2003,Barnes &amp; Noble Books-Imports
942,0385729340,The Second Summer of the Sisterhood,ANN BRASHARES,2003,Delacorte Books for Young Readers
961,0446364193,Along Came a Spider (Alex Cross Novels),James Patterson,1993,Warner Books
1020,3379015180,Schlafes Bruder,Robert Schneider,1994,"Reclam, Leipzig"
1027,3404148576,Nordermoor,Arnaldur Indridason,2003,LÃ?Â¼bbe
1031,3423071516,Der Kleine Hobbit,J. R. R. Tolkien,2002,Distribooks
1035,3442413508,Auf Ehre und Gewissen. Roman.,Elizabeth George,1992,Goldmann
1038,3442437717,Asche zu Asche.,Elizabeth George,1997,Goldmann
1042,3442444020,Denn sie betrÃ?Â¼gt man nicht.,Elizabeth George,1999,Goldmann
1044,3442446414,Mit dem KÃ?Â¼hlschrank durch Irland.,Tony Hawks,2000,Goldmann
1050,3442448530,Die HirnkÃ?Â¶nigin.,Thea Dorn,2001,Goldmann
1052,3551551677,Harry Potter und der Stein der Weisen,Joanne K. Rowling,1999,Carlsen Verlag GmbH
1061,3551551685,Harry Potter und die Kammer des Schreckens,Joanne K. Rowling,2000,Carlsen Verlag GmbH
1070,3551551693,Harry Potter und der Gefangene von Azkaban,J. K. Rowling,1999,Carlsen Verlag GmbH
1077,3551551936,Harry Potter Und Der Feuerkelch,Joanne K. Rowling,1999,Carlsen Verlag GmbH
1086,3453061187,Die Jury. Roman.,John Grisham,1992,Heyne
1093,3453071174,Die Firma. Roman.,John Grisham,1993,Heyne
1100,3453127013,Der Regenmacher.,John Grisham,1997,Heyne
1106,3596122279,Das Superwieb,Hera Lind,2002,Distribooks Inc
1110,0449217264,Alaska,James A. Michener,1994,Fawcett Books
1122,0843946415,Alone with the Dead (Joe Keough Mysteries (Paperback)),Robert J. Randisi,1999,Leisure Books
1123,2253005274,Le Grand Meaulnes (Classiques De Poche),Alain-Fournier,2000,Distribooks Inc
1132,0140328742,The Wonderful Story of Henry Sugar and Six More,Roald Dahl,1988,Penguin USA
1135,0836218833,Attack Of The Deranged Mutant Killer Snow Goons,Bill Watterson,1992,Andrews McMeel Publishing
1152,0836220889,Calvin and Hobbes,Bill Watterson,1987,Andrews McMeel Publishing
1172,088365721X,"The Best of Bombeck: At Wit's End, Just Wait Until You Have Children of Your Own, I Lost Everything in the Post-Natal Depression",Erma Bombeck,1994,BBS Publishing Corporation
