,ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher
0,034545104X,Flesh Tones: A Novel,M. J. Rose,2002,Ballantine Books
8,0446520802,The Notebook,Nicholas Sparks,1996,Warner Books
28,038550120X,A Painted House,JOHN GRISHAM,2001,Doubleday
59,0425115801,Lightning,Dean R. Koontz,1996,Berkley Publishing Group
77,0449006522,Manhattan Hunt Club,JOHN SAUL,2002,Ballantine Books
91,0553561618,Dark Paradise,TAMI HOAG,1994,Bantam
114,055356451X,Night Sins,TAMI HOAG,1995,Bantam
138,0786013990,At the Edge,David Dun,2002,Pinnacle Books
139,0060517794,Little Altars Everywhere,Rebecca Wells,2003,HarperTorch
147,0451192001,How Stella Got Her Groove Back,Terry McMillan,1997,Signet Book
154,0609801279,The Law of Love,Laura Esquivel,1997,Three Rivers Press (CA)
156,0671537458,Waiting to Exhale,Terry McMillan,1995,Pocket
165,0679776818,Birdsong: A Novel of Love and War,Sebastian Faulks,1997,Vintage Books USA
171,0684867621,The Girl Who Loved Tom Gordon : A Novel,Stephen King,1999,Scribner
195,0451166892,The Pillars of the Earth,Ken Follett,1996,Signet Book
228,034544003X,Southampton Row (Charlotte &amp; Thomas Pitt Novels (Hardcover)),Anne Perry,2002,Ballantine Books
231,0380711524,See Jane Run,Joy Fielding,1992,Avon
240,0451167317,The Dark Half,Stephen King,1994,Signet Book
279,3453092007,Die zweite Haut.,Dean Koontz,1995,Heyne
280,0140279091,Saving Private Ryan,Max Allan Collins,1998,Penguin Books Ltd
281,0553572369,Pay Dirt (Mrs. Murphy Mysteries (Paperback)),RITA MAE BROWN,1996,Bantam
285,0571058086,Waiting for Godot,Samuel Beckett,0,Faber Faber Inc
286,3499230933,Adressat unbekannt.,Kathrine Kressmann Taylor,2002,Rowohlt Tb.
287,3442136644,Endlich Nichtraucher.,Allen Carr,1992,Goldmann
288,0345443683,"Blackwood Farm (Rice, Anne, Vampire Chronicles.)",ANNE RICE,2003,Ballantine Books
294,043935806X,Harry Potter and the Order of the Phoenix (Book 5),J. K. Rowling,2003,Scholastic
397,055310666X,False Memory,Dean R. Koontz,1999,Bantam Books
405,0330332775,Bridget Jones's Diary,Helen Fielding,1997,Picador (UK)
428,3423084049,Der Englishche Patient,Michael Ondaatje,0,Deutscher Taschenbuch Verlag (DTV)
429,349915398X,Hasenherz. Roman.,John Updike,1976,Rowohlt Tb.
430,3548603203,Artemis Fowl.,Eoin Colfer,2003,Ullstein TB-Vlg
431,0061054143,The X-Files: Goblins,Charles Grant,1994,HarperEntertainment
433,0061054151,Whirlwind (The X-Files),Charles Grant,1995,HarperEntertainment
438,0061056774,The X-Files: Ground Zero,Kevin J. Anderson,1996,HarperEntertainment
442,0671024108,Speaking in Tongues,Jeffery Deaver,2002,Pocket
453,0064405176,Walk Two Moons,Sharon Creech,1996,HarperTrophy
462,0440498058,A Wrinkle In Time,MADELEINE L'ENGLE,1998,Yearling
500,8426449476,El Diaro De Bridget Jones,Helen Fielding,1996,Lumen Espana
501,0671749609,PERFUME : PERFUME,Patrick Suskind,1991,Washington Square Press
