,User-ID,Location,Age
0,2313,"cincinnati, ohio, usa",23
14,8680,"st. charles county, missouri, usa",2
22,10314,"beaverton, oregon, usa",
72,77480,"gig harbor, washington, usa",51
126,94362,"northridge, california, usa",39
133,98391,"morrow, georgia, usa",52
1225,112199,"union, kentucky, usa",72
1234,115435,"cincinnati, ohio, usa",30
1303,128045,"clearwater, florida, usa",41
1315,128276,"los angeles, ,",
1324,188513,"brookfield, wisconsin, usa",44
1342,208406,"kansas city, missouri, usa",30
1412,210597,"lake winnebago, missouri, usa",38
1430,227886,"charlotte, north carolina, usa",1
1433,240144,"muskego, wisconsin, usa",34
1523,243142,"westerville, ohio, usa",51
1531,244420,"kenmore, ,",
1572,257492,"san diego, ,",
1586,260897,"chicago, illinois, usa",25
1636,274925,"enfield, connecticut, usa",
1643,7158,"omaha, nebraska, usa",30
1684,8253,"tulsa, oklahoma, usa",26
1739,11676,"n/a, n/a, n/a",
4994,12589,"lincoln, nebraska, usa",
4996,13279,"moodus, connecticut, usa",
5007,19371,"royal oak, michigan, usa",52
5011,23768,"st. louis, missouri, usa",45
5088,24878,"ottawa, ontario, canada",
5095,27617,"beaverton, ontario, canada",32
5125,30261,"manchester, missouri, usa",27
5134,30711,"sydney, new south wales, australia",32
5197,35845,"rochester, new hampshire, usa",
5205,63507,"lomita, california, usa",
5215,64679,"buffalo grove, illinois, usa",
5229,85993,"portland, oregon, usa",40
5275,91761,"minneapolis, minnesota, usa",
5287,99720,"dahlonega, georgia, usa",
5312,139064,"wylie, texas, usa",
5315,141444,"west springfield, massachusetts,",
5392,152376,"boston, massachusetts, usa",38
5394,153718,"round lake, illinois, usa",27
5457,154992,"maryland heights, missouri, usa",40
5484,158295,"cleveland, ohio, usa",
5797,167812,"vancouver, washington, usa",38
5830,169699,"vadnais heights, minnesota, usa",40
5859,169784,"cincinnati, ohio, usa",52
5862,172539,"lakewood, california, usa",
5873,181687,"austin, texas, usa",29
5930,185233,"winnemucca, nevada, usa",31
6095,187863,"greenwood, south carolina, usa",33
6123,190374,"kamloops, british columbia, canada",38
6143,192095,"madison, wisconsin, usa",50
6147,200226,"burlington, ontario, canada",39
6289,201036,"virginia beach, virginia, usa",
6302,208671,"simi valley, california, usa",
6382,218875,"wilkes-barre, pennsylvania, usa",28
6390,239135,"mobile, alabama, usa",39
6392,240756,"guyton, georgia, usa",41
6412,245568,"springport, michigan, usa",
6430,248477,"dandridge, tennessee, usa",17
6486,265383,"awendaw, south carolina, usa",
6492,268540,"st. louis, missouri, usa",19
6508,268751,"sheboygan, wisconsin, usa",34
6534,16877,"houston, arkansas, usa",37
6542,17975,"fargo, north dakota, usa",
6543,20806,"union, kentucky, usa",
6546,21356,"westwood, new jersey, usa",56
6568,22625,"lynbrook, new york, usa",54
6641,29168,"beacon, new york, usa",
6645,31315,"henryville, indiana, usa",34
6852,32188,"st. louis, missouri, usa",51
6863,33974,"barnhart, missouri, usa",24
6896,34588,"west linn, oregon, usa",
6937,53220,"fullerton, california, usa",36
7035,53614,"barreiro, barreiro, portugal",30
7068,60337,"st. marys, georgia, usa",50
7106,64436,"san ramon, california, usa",36
7145,75819,"west falls, new york, usa",
7200,76151,"sioux falls, south dakota, usa",49
7358,76351,"clarksville, tennessee, usa",34
7370,76851,"saginaw, michigan, usa",31
7371,100471,"new albany, indiana, usa",39
7378,100846,"plainfield, illinois, usa",39
7438,101226,"corsicana, texas, usa",59
7441,104051,"vacaville, california, usa",29
7452,109180,"huntington beach, california,",60
7455,111174,"austin, texas, usa",
7491,111358,"cameron, west virginia, usa",69
7493,113425,"chicago, illinois, usa",47
7495,114368,"mechanicsville, maryland, usa",33
7920,115003,"asheville, north carolina, usa",43
8017,116904,"san antonio, texas, usa",38
8043,125519,"irvine, california, usa",40
8114,130571,"summerville, south carolina, usa",
8207,136439,"palm bay, florida, usa",36
8210,140358,"san diego, california, usa",
8366,141719,"houston, texas, usa",
8381,145641,"madison, new jersey, usa",
8414,147224,"mechanicsburg, pennsylvania, usa",41
8440,149069,"struthers, ohio, usa",30
8477,152354,"boston, massachusetts, usa",
8491,187256,"citrus heights, california, usa",
8579,187621,"leidschendam, zuid-holland, netherlands",39
8584,193778,"dallas, georgia, usa",
8648,197206,"virginia beach, virginia, usa",
8665,198213,"williamsburg/norfolk, virginia, usa",19
8681,200422,"plainfield, illinois, usa",29
8701,203506,"rye brook, new york, usa",18
8711,210485,"carmichael, california, usa",35
8840,212568,"huntington beach, california, usa",
8851,215988,"lake oswego, oregon, usa",42
8899,218615,"snoqualmie, washington, usa",
8913,235146,"oak park, illinois, usa",39
8929,240643,"niceville, florida, usa",
8950,251164,"trabuco canyon, california, usa",59
8979,252820,"montreal, quebec, canada",33
9046,253780,"fredericton, new brunswick,",25
9049,254053,"hackettstown, new jersey, usa",27
9061,258334,"pinckney, michigan, usa",31
9064,259259,"woodruff, south carolina, usa",30
9088,259629,"carrollton, texas, usa",51
9148,265202,"manchester, vermont, usa",38
9152,2288,"spring hill, tennessee, usa",30
9160,4938,"charleston, south carolina, usa",30
9173,9856,"glendale, colorado, usa",22
9211,13552,"cordova, tennessee, usa",32
9394,16795,"mechanicsville, maryland, usa",47
9877,25545,"hollsopple, pennsylvania, usa",33
9888,25981,"nj, new jersey, usa",
10026,31826,"jasper, missouri, usa",54
10174,48025,"concordia, missouri, usa",43
10264,55789,"pittsburgh, pennsylvania, usa",35
10275,58224,"lake park, georgia, usa",
10286,68185,"virginia beach, virginia, usa",22
10318,92658,"burlington, washington, usa",39
10326,101620,"brookland, arkansas, usa",
10353,107784,"tarentum, pennsylvania, usa",
10544,124474,"canon city, colorado, usa",53
10553,128404,"fall river, massachusetts, usa",30
10556,133738,"indianapolis, indiana, usa",28
10567,135045,"spring, texas, usa",29
10625,152099,"wickenburg, arizona, usa",14
10656,154944,"colony, kansas, usa",33
10673,168064,"fredericton, new brunswick, canada",
10717,171968,"irving, texas, usa",23
10734,175978,"somewhere, new jersey, usa",27
10749,184299,"omaha, nebraska, usa",31
10828,185722,"long beach, california, usa",24
