,ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher
0,034545104X,Flesh Tones: A Novel,M. J. Rose,2002,Ballantine Books
28,0446520802,The Notebook,Nicholas Sparks,1996,Warner Books
84,038550120X,A Painted House,JOHN GRISHAM,2001,Doubleday
165,0425115801,Lightning,Dean R. Koontz,1996,Berkley Publishing Group
206,0449006522,Manhattan Hunt Club,JOHN SAUL,2002,Ballantine Books
257,0553561618,Dark Paradise,TAMI HOAG,1994,Bantam
298,055356451X,Night Sins,TAMI HOAG,1995,Bantam
354,0060517794,Little Altars Everywhere,Rebecca Wells,2003,HarperTorch
384,0451192001,How Stella Got Her Groove Back,Terry McMillan,1997,Signet Book
403,0609801279,The Law of Love,Laura Esquivel,1997,Three Rivers Press (CA)
410,0671537458,Waiting to Exhale,Terry McMillan,1995,Pocket
427,0679776818,Birdsong: A Novel of Love and War,Sebastian Faulks,1997,Vintage Books USA
448,0684867621,The Girl Who Loved Tom Gordon : A Novel,Stephen King,1999,Scribner
508,0451166892,The Pillars of the Earth,Ken Follett,1996,Signet Book
595,0380711524,See Jane Run,Joy Fielding,1992,Avon
611,0451167317,The Dark Half,Stephen King,1994,Signet Book
679,0553572369,Pay Dirt (Mrs. Murphy Mysteries (Paperback)),RITA MAE BROWN,1996,Bantam
687,0345443683,"Blackwood Farm (Rice, Anne, Vampire Chronicles.)",ANNE RICE,2003,Ballantine Books
707,043935806X,Harry Potter and the Order of the Phoenix (Book 5),J. K. Rowling,2003,Scholastic
913,055310666X,False Memory,Dean R. Koontz,1999,Bantam Books
927,0330332775,Bridget Jones's Diary,Helen Fielding,1997,Picador (UK)
999,3548603203,Artemis Fowl.,Eoin Colfer,2003,Ullstein TB-Vlg
1009,0061054143,The X-Files: Goblins,Charles Grant,1994,HarperEntertainment
1017,0061054151,Whirlwind (The X-Files),Charles Grant,1995,HarperEntertainment
1037,0061056774,The X-Files: Ground Zero,Kevin J. Anderson,1996,HarperEntertainment
1049,0671024108,Speaking in Tongues,Jeffery Deaver,2002,Pocket
1077,0064405176,Walk Two Moons,Sharon Creech,1996,HarperTrophy
1106,0440498058,A Wrinkle In Time,MADELEINE L'ENGLE,1998,Yearling
1187,0671749609,PERFUME : PERFUME,Patrick Suskind,1991,Washington Square Press
1199,0140062718,The Rebel Angels,Robertson Davies,1983,Penguin Books
1209,0060096195,The Boy Next Door,Meggin Cabot,2002,Avon Trade
1262,0786817070,"Artemis Fowl (Artemis Fowl, Book 1)",Eoin Colfer,2002,Miramax Kids
1336,2253044903,Le Parfum : Histoire d'un meurtrier,Patrick SÃ?Â¼skind,1988,LGF
1356,2253150711,Stupeur Et Tremblements,Amelie Nothomb,2001,Distribooks
1378,0440225825,Move to Strike,Perri O'Shaughnessy,2001,Island
1409,0316781266,The Last Time They Met : A Novel,Anita Shreve,2002,Back Bay Books
1491,0345446860,Back When We Were Grownups : A Novel (Ballantine Reader's Circle),ANNE TYLER,2002,Ballantine Books
1559,0380005239,Go Ask Alice (Avon/Flare Book),James Jennings,1991,Avon Books
1580,0385729340,The Second Summer of the Sisterhood,ANN BRASHARES,2003,Delacorte Books for Young Readers
1605,0446364193,Along Came a Spider (Alex Cross Novels),James Patterson,1993,Warner Books
1721,3379015180,Schlafes Bruder,Robert Schneider,1994,"Reclam, Leipzig"
1745,3551551677,Harry Potter und der Stein der Weisen,Joanne K. Rowling,1999,Carlsen Verlag GmbH
1760,3453061187,Die Jury. Roman.,John Grisham,1992,Heyne
1773,3453071174,Die Firma. Roman.,John Grisham,1993,Heyne
1787,3596122279,Das Superwieb,Hera Lind,2002,Distribooks Inc
1803,0449217264,Alaska,James A. Michener,1994,Fawcett Books
1821,0836218833,Attack Of The Deranged Mutant Killer Snow Goons,Bill Watterson,1992,Andrews McMeel Publishing
1840,0836220889,Calvin and Hobbes,Bill Watterson,1987,Andrews McMeel Publishing
1864,3257227264,Die HÃ?Â¤upter meiner Lieben.,Ingrid Noll,2000,Diogenes Verlag
1879,3423201509,Die Weiss Lowin / Contemporary German Lit,Henning Mankell,2002,Distribooks
1895,0345423402,A Kiss of Shadows (Meredith Gentry Novels (Paperback)),LAURELL K. HAMILTON,2002,Ballantine Books
1937,3596237874,Beim Naechsten Mann Wird Alles (Frau in Der Gesellschaft),Eva Heller,1997,Fischer Taschenbuch Verlag GmbH
1946,3596247500,Ein Mann fÃ?Â¼r jede Tonart. Roman. ( Die Frau in der Gesellschaft).,Hera Lind,2000,"Fischer (Tb.), Frankfurt"
1954,044020562X,One,Richard Bach,1989,Dell
1976,042518109X,Whispers,Dean R. Koontz,2001,Berkley Publishing Group
1997,0688172377,Desert Flower : The Extraordinary Journey Of A Desert Nomad,Waris Dirie,1999,Perennial
2004,8817106100,Oceano Mare,Alessandro Baricco,0,Biblioteca Universale Rizzoli
2022,0151446474,The Name of the Rose,Umberto Eco,1983,Harcourt
2031,0671723650,How To Win Friends And Influence People,Dale Carnegie,1990,Pocket
2044,0812533550,Ender's Game (Ender Wiggins Saga (Paperback)),Orson Scott Card,1986,Tor Books
2057,884590184X,Siddharta Romanzo Versione Di M Mila,Hermann Hesse,0,Adelphi Book Shop Ltd
2074,0446613843,The Jester,James Patterson,2004,Warner Books
2101,0440241537,The King of Torts,JOHN GRISHAM,2003,Dell
2193,0060542845,The Holiday Present,Johanna Lindsey,2003,Avon Books
2202,002542730X,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times,James Finn Garner,1994,John Wiley &amp; Sons Inc
2279,0060520507,"Sushi for Beginners : A Novel (Keyes, Marian)",Marian Keyes,2003,William Morrow
2287,0060930934,Wasted : A Memoir of Anorexia and Bulimia,Marya Hornbacher,1999,Perennial
2297,0151010633,Q,Luther Blissett,2004,Harcourt
2301,0316666343,The Lovely Bones: A Novel,Alice Sebold,2002,"Little, Brown"
3008,0345391810,The Restaurant at the End of the Universe (Hitchhiker's Trilogy (Paperback)),Douglas Adams,1995,Ballantine Books
3039,0385504209,The Da Vinci Code,Dan Brown,2003,Doubleday
3526,0451527747,Alice's Adventures in Wonderland and Through the Looking Glass,Lewis Carroll,2000,Signet Classics
3536,0486282112,Frankenstein (Dover Thrift Editions),Mary Wollstonecraft Shelley,1994,Dover Publications
3553,0486424499,Jane Eyre (Dover Thrift Editions),Charlotte Bronte,2003,Dover Publications
3561,0613329740,Quidditch Through the Ages,J. K. Rowling,2001,Sagebrush Education Resources
3573,067172939X,Dark Angel (Casteel),V.C. Andrews,1990,Pocket
3583,0671729438,Gates of Paradise (Casteel),V.C. Andrews,1990,Pocket
3591,0679745580,In Cold Blood (Vintage International),TRUMAN CAPOTE,1994,Vintage
3610,0804106304,The Joy Luck Club,Amy Tan,1994,Prentice Hall (K-12)
3804,0971880107,Wild Animus,Rich Shapero,2004,Too Far
4385,8495501090,El ocho,Katherine Neville,2001,Punto de Lectura
4398,8495501198,Memorias de una geisha,Arthur Golden,2001,Suma de Letras
4414,950491036X,La Sombra del Viento,Carlos Ruiz Zafon,2003,Planeta
4423,059030271X,Charlotte's Web,E. B. White,1974,Scholastic Paperbacks (T)
4453,0590453661,"Stay Out of the Basement (Goosebumps, No 2)",R. L. Stine,1995,Scholastic
4461,0590483404,"A Shocker on Shock Street (Goosebumps, No 35)",R. L. Stine,1995,Scholastic
