,ISBN,User-ID,Book-Rating
0,0446520802,7158,10
1,0446520802,8253,10
2,0446520802,11676,10
3,0446520802,12589,9
4,0446520802,13279,10
5,0446520802,19371,4
6,0446520802,23768,6
7,0446520802,24878,7
8,0446520802,26525,10
9,0446520802,27617,9
10,0446520802,30261,10
11,0446520802,30711,6
12,0446520802,35845,5
13,0446520802,63507,8
14,0446520802,64679,6
15,0446520802,85993,10
16,0446520802,91761,6
17,0446520802,99720,9
18,0446520802,131993,10
19,0446520802,132792,9
20,0446520802,139064,10
21,0446520802,141444,7
22,0446520802,152376,9
23,0446520802,153718,7
24,0446520802,154992,8
25,0446520802,158295,8
26,0446520802,167812,10
27,0446520802,169699,8
28,0446520802,169784,10
29,0446520802,170902,10
30,0446520802,172539,7
31,0446520802,181687,9
32,0446520802,185233,7
33,0446520802,187863,5
34,0446520802,190374,8
35,0446520802,192095,10
36,0446520802,200226,9
37,0446520802,201036,9
38,0446520802,208671,9
39,0446520802,218875,8
40,0446520802,239135,8
41,0446520802,240756,9
42,0446520802,245568,2
43,0446520802,248477,6
44,0446520802,265383,10
45,0446520802,268540,10
46,0446520802,268751,10
47,038550120X,11676,10
48,038550120X,16877,9
49,038550120X,17975,6
50,038550120X,20806,6
51,038550120X,21340,9
52,038550120X,21356,7
53,038550120X,22625,10
54,038550120X,23243,7
55,038550120X,29168,7
56,038550120X,31315,6
57,038550120X,32188,8
58,038550120X,33974,8
59,038550120X,34588,5
60,038550120X,37800,9
61,038550120X,53220,8
62,038550120X,53614,8
63,038550120X,60337,8
64,038550120X,64436,9
65,038550120X,75819,8
66,038550120X,76151,10
67,038550120X,76351,10
68,038550120X,76851,8
69,038550120X,97919,6
70,038550120X,98168,7
71,038550120X,100471,6
72,038550120X,100846,8
73,038550120X,101226,10
74,038550120X,104051,8
75,038550120X,109180,10
76,038550120X,111174,6
77,038550120X,111358,7
78,038550120X,113425,6
79,038550120X,114368,9
80,038550120X,115003,8
81,038550120X,115435,8
82,038550120X,116904,10
83,038550120X,125519,9
84,038550120X,130571,8
85,038550120X,136439,5
86,038550120X,140358,5
87,038550120X,141719,7
88,038550120X,145641,7
89,038550120X,147224,5
90,038550120X,149069,10
91,038550120X,151819,4
92,038550120X,152354,6
93,038550120X,172881,8
94,038550120X,178006,6
95,038550120X,187256,9
96,038550120X,187621,4
97,038550120X,193778,10
98,038550120X,197206,5
99,038550120X,198213,8
100,038550120X,200422,8
101,038550120X,203506,1
102,038550120X,210485,7
103,038550120X,212568,9
104,038550120X,213379,10
105,038550120X,215988,10
106,038550120X,218615,7
107,038550120X,235146,10
108,038550120X,240643,9
109,038550120X,245901,9
110,038550120X,251164,7
111,038550120X,252820,7
112,038550120X,253780,10
113,038550120X,254053,10
114,038550120X,258334,5
115,038550120X,259259,9
116,038550120X,259629,8
117,038550120X,265202,8
118,0425115801,2288,10
119,0425115801,4938,9
120,0425115801,9856,7
121,0425115801,13552,10
122,0425115801,16795,8
123,0425115801,25545,8
124,0425115801,25981,10
125,0425115801,29763,7
126,0425115801,31826,10
127,0425115801,48025,7
128,0425115801,55789,6
129,0425115801,58224,10
130,0425115801,68185,6
131,0425115801,92658,5
132,0425115801,101620,10
133,0425115801,107784,5
134,0425115801,121072,7
135,0425115801,124474,5
136,0425115801,128404,9
137,0425115801,133738,8
138,0425115801,135045,9
139,0425115801,152099,7
140,0425115801,154944,10
141,0425115801,158295,7
142,0425115801,168064,8
143,0425115801,171968,8
144,0425115801,175978,8
145,0425115801,184299,9
146,0425115801,185722,10
147,0425115801,186521,8
148,0425115801,208671,8
149,0425115801,212427,9
150,0425115801,216683,8
151,0425115801,224146,9
152,0425115801,235684,8
153,0425115801,246000,8
154,0425115801,250016,10
