,ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher
0,0446520802,The Notebook,Nicholas Sparks,1996,Warner Books
38,038550120X,A Painted House,JOHN GRISHAM,2001,Doubleday
89,0425115801,Lightning,Dean R. Koontz,1996,Berkley Publishing Group
124,0449006522,Manhattan Hunt Club,JOHN SAUL,2002,Ballantine Books
160,0553561618,Dark Paradise,TAMI HOAG,1994,Bantam
193,055356451X,Night Sins,TAMI HOAG,1995,Bantam
235,0451192001,How Stella Got Her Groove Back,Terry McMillan,1997,Signet Book
247,0671537458,Waiting to Exhale,Terry McMillan,1995,Pocket
260,0684867621,The Girl Who Loved Tom Gordon : A Novel,Stephen King,1999,Scribner
303,0451166892,The Pillars of the Earth,Ken Follett,1996,Signet Book
360,0451167317,The Dark Half,Stephen King,1994,Signet Book
419,043935806X,Harry Potter and the Order of the Phoenix (Book 5),J. K. Rowling,2003,Scholastic
585,0330332775,Bridget Jones's Diary,Helen Fielding,1997,Picador (UK)
635,0440498058,A Wrinkle In Time,MADELEINE L'ENGLE,1998,Yearling
697,0060096195,The Boy Next Door,Meggin Cabot,2002,Avon Trade
734,0786817070,"Artemis Fowl (Artemis Fowl, Book 1)",Eoin Colfer,2002,Miramax Kids
793,0440225825,Move to Strike,Perri O'Shaughnessy,2001,Island
817,0316781266,The Last Time They Met : A Novel,Anita Shreve,2002,Back Bay Books
867,0345446860,Back When We Were Grownups : A Novel (Ballantine Reader's Circle),ANNE TYLER,2002,Ballantine Books
900,0446364193,Along Came a Spider (Alex Cross Novels),James Patterson,1993,Warner Books
977,0345423402,A Kiss of Shadows (Meredith Gentry Novels (Paperback)),LAURELL K. HAMILTON,2002,Ballantine Books
1008,0446613843,The Jester,James Patterson,2004,Warner Books
1025,0440241537,The King of Torts,JOHN GRISHAM,2003,Dell
1091,002542730X,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times,James Finn Garner,1994,John Wiley &amp; Sons Inc
1152,0316666343,The Lovely Bones: A Novel,Alice Sebold,2002,"Little, Brown"
1550,0385504209,The Da Vinci Code,Dan Brown,2003,Doubleday
1867,0804106304,The Joy Luck Club,Amy Tan,1994,Prentice Hall (K-12)
2001,0971880107,Wild Animus,Rich Shapero,2004,Too Far
2251,0060964049,"Tales of the City (Tales of the City Series, V. 1)",Armistead Maupin,1989,Perennial
2279,0439064864,Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling,1999,Scholastic
2392,059035342X,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),J. K. Rowling,1999,Arthur A. Levine Books
2600,0446310786,To Kill a Mockingbird,Harper Lee,1988,Little Brown &amp; Company
2748,0312966970,Four To Score (A Stephanie Plum Novel),Janet Evanovich,1999,St. Martin's Paperbacks
2836,0345354621,The Terminal Man,Michael Crichton,1988,Ballantine Books
2859,0425172546,Southern Cross,Patricia Daniels Cornwell,1999,Berkley Publishing Group
2900,0440220602,The Chamber,John Grisham,1995,Dell Publishing Company
3000,0060930187,The Bell Jar : A Novel (Perennial Classics),Sylvia Plath,2000,Perennial
