,ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher
0,034545104X,Flesh Tones: A Novel,M. J. Rose,2002,Ballantine Books
17,0446520802,The Notebook,Nicholas Sparks,1996,Warner Books
49,038550120X,A Painted House,JOHN GRISHAM,2001,Doubleday
92,0425115801,Lightning,Dean R. Koontz,1996,Berkley Publishing Group
121,0449006522,Manhattan Hunt Club,JOHN SAUL,2002,Ballantine Books
140,0553561618,Dark Paradise,TAMI HOAG,1994,Bantam
169,055356451X,Night Sins,TAMI HOAG,1995,Bantam
205,0060517794,Little Altars Everywhere,Rebecca Wells,2003,HarperTorch
219,0451192001,How Stella Got Her Groove Back,Terry McMillan,1997,Signet Book
230,0609801279,The Law of Love,Laura Esquivel,1997,Three Rivers Press (CA)
233,0671537458,Waiting to Exhale,Terry McMillan,1995,Pocket
246,0679776818,Birdsong: A Novel of Love and War,Sebastian Faulks,1997,Vintage Books USA
259,0684867621,The Girl Who Loved Tom Gordon : A Novel,Stephen King,1999,Scribner
295,0451166892,The Pillars of the Earth,Ken Follett,1996,Signet Book
345,0380711524,See Jane Run,Joy Fielding,1992,Avon
356,0451167317,The Dark Half,Stephen King,1994,Signet Book
406,0553572369,Pay Dirt (Mrs. Murphy Mysteries (Paperback)),RITA MAE BROWN,1996,Bantam
411,0345443683,"Blackwood Farm (Rice, Anne, Vampire Chronicles.)",ANNE RICE,2003,Ballantine Books
421,043935806X,Harry Potter and the Order of the Phoenix (Book 5),J. K. Rowling,2003,Scholastic
568,055310666X,False Memory,Dean R. Koontz,1999,Bantam Books
578,0330332775,Bridget Jones's Diary,Helen Fielding,1997,Picador (UK)
617,3548603203,Artemis Fowl.,Eoin Colfer,2003,Ullstein TB-Vlg
620,0061054143,The X-Files: Goblins,Charles Grant,1994,HarperEntertainment
624,0061054151,Whirlwind (The X-Files),Charles Grant,1995,HarperEntertainment
634,0061056774,The X-Files: Ground Zero,Kevin J. Anderson,1996,HarperEntertainment
641,0671024108,Speaking in Tongues,Jeffery Deaver,2002,Pocket
656,0064405176,Walk Two Moons,Sharon Creech,1996,HarperTrophy
668,0440498058,A Wrinkle In Time,MADELEINE L'ENGLE,1998,Yearling
720,0671749609,PERFUME : PERFUME,Patrick Suskind,1991,Washington Square Press
726,0140062718,The Rebel Angels,Robertson Davies,1983,Penguin Books
731,0060096195,The Boy Next Door,Meggin Cabot,2002,Avon Trade
762,0786817070,"Artemis Fowl (Artemis Fowl, Book 1)",Eoin Colfer,2002,Miramax Kids
814,2253044903,Le Parfum : Histoire d'un meurtrier,Patrick SÃ?Â¼skind,1988,LGF
827,2253150711,Stupeur Et Tremblements,Amelie Nothomb,2001,Distribooks
840,0440225825,Move to Strike,Perri O'Shaughnessy,2001,Island
857,0316781266,The Last Time They Met : A Novel,Anita Shreve,2002,Back Bay Books
895,0345446860,Back When We Were Grownups : A Novel (Ballantine Reader's Circle),ANNE TYLER,2002,Ballantine Books
917,0380005239,Go Ask Alice (Avon/Flare Book),James Jennings,1991,Avon Books
928,0385729340,The Second Summer of the Sisterhood,ANN BRASHARES,2003,Delacorte Books for Young Readers
947,0446364193,Along Came a Spider (Alex Cross Novels),James Patterson,1993,Warner Books
1006,3379015180,Schlafes Bruder,Robert Schneider,1994,"Reclam, Leipzig"
1013,3551551677,Harry Potter und der Stein der Weisen,Joanne K. Rowling,1999,Carlsen Verlag GmbH
1022,3453061187,Die Jury. Roman.,John Grisham,1992,Heyne
1029,3453071174,Die Firma. Roman.,John Grisham,1993,Heyne
1036,3596122279,Das Superwieb,Hera Lind,2002,Distribooks Inc
1040,0449217264,Alaska,James A. Michener,1994,Fawcett Books
1052,0836218833,Attack Of The Deranged Mutant Killer Snow Goons,Bill Watterson,1992,Andrews McMeel Publishing
1069,0836220889,Calvin and Hobbes,Bill Watterson,1987,Andrews McMeel Publishing
1089,3257227264,Die HÃ?Â¤upter meiner Lieben.,Ingrid Noll,2000,Diogenes Verlag
1095,3423201509,Die Weiss Lowin / Contemporary German Lit,Henning Mankell,2002,Distribooks
1107,0345423402,A Kiss of Shadows (Meredith Gentry Novels (Paperback)),LAURELL K. HAMILTON,2002,Ballantine Books
1133,3596237874,Beim Naechsten Mann Wird Alles (Frau in Der Gesellschaft),Eva Heller,1997,Fischer Taschenbuch Verlag GmbH
1137,3596247500,Ein Mann fÃ?Â¼r jede Tonart. Roman. ( Die Frau in der Gesellschaft).,Hera Lind,2000,"Fischer (Tb.), Frankfurt"
1142,044020562X,One,Richard Bach,1989,Dell
1154,042518109X,Whispers,Dean R. Koontz,2001,Berkley Publishing Group
1164,0688172377,Desert Flower : The Extraordinary Journey Of A Desert Nomad,Waris Dirie,1999,Perennial
1168,8817106100,Oceano Mare,Alessandro Baricco,0,Biblioteca Universale Rizzoli
1173,0151446474,The Name of the Rose,Umberto Eco,1983,Harcourt
1180,0671723650,How To Win Friends And Influence People,Dale Carnegie,1990,Pocket
1188,0812533550,Ender's Game (Ender Wiggins Saga (Paperback)),Orson Scott Card,1986,Tor Books
1195,0446613843,The Jester,James Patterson,2004,Warner Books
1204,0440241537,The King of Torts,JOHN GRISHAM,2003,Dell
1249,0060542845,The Holiday Present,Johanna Lindsey,2003,Avon Books
1254,002542730X,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times,James Finn Garner,1994,John Wiley &amp; Sons Inc
1304,0060520507,"Sushi for Beginners : A Novel (Keyes, Marian)",Marian Keyes,2003,William Morrow
1310,0060930934,Wasted : A Memoir of Anorexia and Bulimia,Marya Hornbacher,1999,Perennial
1317,0151010633,Q,Luther Blissett,2004,Harcourt
1318,0316666343,The Lovely Bones: A Novel,Alice Sebold,2002,"Little, Brown"
1633,0345391810,The Restaurant at the End of the Universe (Hitchhiker's Trilogy (Paperback)),Douglas Adams,1995,Ballantine Books
1651,0385504209,The Da Vinci Code,Dan Brown,2003,Doubleday
