,User-ID,Location,Age
0,7158,"omaha, nebraska, usa",30
20,8253,"tulsa, oklahoma, usa",26
55,11676,"n/a, n/a, n/a",
699,12589,"lincoln, nebraska, usa",
701,13279,"moodus, connecticut, usa",
707,19371,"royal oak, michigan, usa",52
708,23768,"st. louis, missouri, usa",45
734,24878,"ottawa, ontario, canada",
738,26525,"mountain view, california, usa",56
739,27617,"beaverton, ontario, canada",32
754,30261,"manchester, missouri, usa",27
759,30711,"sydney, new south wales, australia",32
778,35845,"rochester, new hampshire, usa",
781,63507,"lomita, california, usa",
789,64679,"buffalo grove, illinois, usa",
795,85993,"portland, oregon, usa",40
817,91761,"minneapolis, minnesota, usa",
823,99720,"dahlonega, georgia, usa",
837,131993,"mobile, alabama, usa",
839,132792,"west seneca, new york, usa",
841,139064,"wylie, texas, usa",
843,141444,"west springfield, massachusetts,",
886,152376,"boston, massachusetts, usa",38
888,153718,"round lake, illinois, usa",27
917,154992,"maryland heights, missouri, usa",40
926,158295,"cleveland, ohio, usa",
1023,167812,"vancouver, washington, usa",38
1041,169699,"vadnais heights, minnesota, usa",40
1050,169784,"cincinnati, ohio, usa",52
1051,170902,"austin, texas, usa",
1052,172539,"lakewood, california, usa",
1058,181687,"austin, texas, usa",29
1095,185233,"winnemucca, nevada, usa",31
1122,187863,"greenwood, south carolina, usa",33
1143,190374,"kamloops, british columbia, canada",38
1155,192095,"madison, wisconsin, usa",50
1158,200226,"burlington, ontario, canada",39
1220,201036,"virginia beach, virginia, usa",
1224,208671,"simi valley, california, usa",
1257,218875,"wilkes-barre, pennsylvania, usa",28
1260,239135,"mobile, alabama, usa",39
1261,240756,"guyton, georgia, usa",41
1266,245568,"springport, michigan, usa",
1275,248477,"dandridge, tennessee, usa",17
1294,265383,"awendaw, south carolina, usa",
1297,268540,"st. louis, missouri, usa",19
1301,268751,"sheboygan, wisconsin, usa",34
1307,16877,"houston, arkansas, usa",37
1311,17975,"fargo, north dakota, usa",
1312,20806,"union, kentucky, usa",
1314,21340,"holton, kansas, usa",45
1316,21356,"westwood, new jersey, usa",56
1326,22625,"lynbrook, new york, usa",54
1368,23243,"colstrip, montana, usa",
1369,29168,"beacon, new york, usa",
1372,31315,"henryville, indiana, usa",34
1419,32188,"st. louis, missouri, usa",51
1426,33974,"barnhart, missouri, usa",24
1437,34588,"west linn, oregon, usa",
1456,37800,"rackerby, california, usa",63
1457,53220,"fullerton, california, usa",36
1496,53614,"barreiro, barreiro, portugal",30
1519,60337,"st. marys, georgia, usa",50
1531,64436,"san ramon, california, usa",36
1552,75819,"west falls, new york, usa",
1580,76151,"sioux falls, south dakota, usa",49
1607,76351,"clarksville, tennessee, usa",34
1616,76851,"saginaw, michigan, usa",31
1617,97919,"howell, michigan, usa",63
1619,98168,"racine, ,",
1620,100471,"new albany, indiana, usa",39
1627,100846,"plainfield, illinois, usa",39
1648,101226,"corsicana, texas, usa",59
1650,104051,"vacaville, california, usa",29
1657,109180,"huntington beach, california,",60
1659,111174,"austin, texas, usa",
1680,111358,"cameron, west virginia, usa",69
1682,113425,"chicago, illinois, usa",47
1684,114368,"mechanicsville, maryland, usa",33
1768,115003,"asheville, north carolina, usa",43
1815,115435,"cincinnati, ohio, usa",30
1840,116904,"san antonio, texas, usa",38
1855,125519,"irvine, california, usa",40
1891,130571,"summerville, south carolina, usa",
1922,136439,"palm bay, florida, usa",36
1924,140358,"san diego, california, usa",
2001,141719,"houston, texas, usa",
