,ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher
0,034545104X,Flesh Tones: A Novel,M. J. Rose,2002,Ballantine Books
28,0446520802,The Notebook,Nicholas Sparks,1996,Warner Books
84,038550120X,A Painted House,JOHN GRISHAM,2001,Doubleday
165,0425115801,Lightning,Dean R. Koontz,1996,Berkley Publishing Group
206,0449006522,Manhattan Hunt Club,JOHN SAUL,2002,Ballantine Books
257,0553561618,Dark Paradise,TAMI HOAG,1994,Bantam
298,055356451X,Night Sins,TAMI HOAG,1995,Bantam
354,0060517794,Little Altars Everywhere,Rebecca Wells,2003,HarperTorch
384,0451192001,How Stella Got Her Groove Back,Terry McMillan,1997,Signet Book
403,0671537458,Waiting to Exhale,Terry McMillan,1995,Pocket
420,0684867621,The Girl Who Loved Tom Gordon : A Novel,Stephen King,1999,Scribner
480,0451166892,The Pillars of the Earth,Ken Follett,1996,Signet Book
567,0451167317,The Dark Half,Stephen King,1994,Signet Book
635,043935806X,Harry Potter and the Order of the Phoenix (Book 5),J. K. Rowling,2003,Scholastic
841,0330332775,Bridget Jones's Diary,Helen Fielding,1997,Picador (UK)
913,0061054151,Whirlwind (The X-Files),Charles Grant,1995,HarperEntertainment
933,0671024108,Speaking in Tongues,Jeffery Deaver,2002,Pocket
961,0064405176,Walk Two Moons,Sharon Creech,1996,HarperTrophy
990,0440498058,A Wrinkle In Time,MADELEINE L'ENGLE,1998,Yearling
1071,0060096195,The Boy Next Door,Meggin Cabot,2002,Avon Trade
1124,0786817070,"Artemis Fowl (Artemis Fowl, Book 1)",Eoin Colfer,2002,Miramax Kids
1198,0440225825,Move to Strike,Perri O'Shaughnessy,2001,Island
1229,0316781266,The Last Time They Met : A Novel,Anita Shreve,2002,Back Bay Books
1311,0345446860,Back When We Were Grownups : A Novel (Ballantine Reader's Circle),ANNE TYLER,2002,Ballantine Books
1379,0385729340,The Second Summer of the Sisterhood,ANN BRASHARES,2003,Delacorte Books for Young Readers
1404,0446364193,Along Came a Spider (Alex Cross Novels),James Patterson,1993,Warner Books
1520,0449217264,Alaska,James A. Michener,1994,Fawcett Books
1538,0345423402,A Kiss of Shadows (Meredith Gentry Novels (Paperback)),LAURELL K. HAMILTON,2002,Ballantine Books
1580,044020562X,One,Richard Bach,1989,Dell
1602,042518109X,Whispers,Dean R. Koontz,2001,Berkley Publishing Group
1623,0671723650,How To Win Friends And Influence People,Dale Carnegie,1990,Pocket
1636,0446613843,The Jester,James Patterson,2004,Warner Books
1663,0440241537,The King of Torts,JOHN GRISHAM,2003,Dell
1755,002542730X,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times,James Finn Garner,1994,John Wiley &amp; Sons Inc
1832,0316666343,The Lovely Bones: A Novel,Alice Sebold,2002,"Little, Brown"
2539,0345391810,The Restaurant at the End of the Universe (Hitchhiker's Trilogy (Paperback)),Douglas Adams,1995,Ballantine Books
2570,0385504209,The Da Vinci Code,Dan Brown,2003,Doubleday
3057,0679745580,In Cold Blood (Vintage International),TRUMAN CAPOTE,1994,Vintage
3076,0804106304,The Joy Luck Club,Amy Tan,1994,Prentice Hall (K-12)
3270,0971880107,Wild Animus,Rich Shapero,2004,Too Far
3851,059030271X,Charlotte's Web,E. B. White,1974,Scholastic Paperbacks (T)
3881,0060964049,"Tales of the City (Tales of the City Series, V. 1)",Armistead Maupin,1989,Perennial
3922,0380807343,Coraline,Neil Gaiman,2003,HarperTrophy
3953,0439064864,Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling,1999,Scholastic
4079,059035342X,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),J. K. Rowling,1999,Arthur A. Levine Books
4392,0446310786,To Kill a Mockingbird,Harper Lee,1988,Little Brown &amp; Company
4606,0312966970,Four To Score (A Stephanie Plum Novel),Janet Evanovich,1999,St. Martin's Paperbacks
4709,0345354621,The Terminal Man,Michael Crichton,1988,Ballantine Books
4739,0425172546,Southern Cross,Patricia Daniels Cornwell,1999,Berkley Publishing Group
4791,0440220602,The Chamber,John Grisham,1995,Dell Publishing Company
4937,0765342987,Kushiel's Dart,Jacqueline Carey,2002,Tor Books
4963,0812550307,"The Fires of Heaven (The Wheel of Time, Book 5)",Robert Jordan,1994,Tor Fantasy
4981,0060930187,The Bell Jar : A Novel (Perennial Classics),Sylvia Plath,2000,Perennial
5023,0375760911,The Idiot Girls' Action Adventure Club,Laurie Notaro,2002,Villard Books
5073,0689817851,Go Ask Alice,Anonymous,1998,Simon Pulse
5124,0671793489,All Around the Town,Mary Higgins Clark,1993,Pocket Star
5181,0312244266,Winter Solstice,Rosamunde Pilcher,2000,Thomas Dunne Books
5219,3423202327,MÃ?Â¶rder ohne Gesicht.,Henning Mankell,1999,Dtv
5254,3492045170,Stupid White Men. Eine Abrechnung mit dem Amerika unter George W. Bush,Michael Moore,2003,Piper
5292,0671011367,Deja Dead,Kathy Reichs,1998,Pocket
5348,0061000027,Dance Hall of the Dead (Joe Leaphorn Novels),Tony Hillerman,1990,HarperTorch
5373,0812511816,"The Eye of the World (The Wheel of Time, Book 1)",Robert Jordan,1990,Tor Fantasy
5436,0880381736,"Dragons of Autumn Twilight (Dragonlance Chronicles, Vol 1)",Margaret Weis,1990,TSR
5460,0060505885,The Scandalous Summer of Sissy LeBlanc : A Novel,Loraine Despres,2002,Perennial
5484,0061097101,The Saving Graces: A Novel,Patricia Gaffney,2000,HarperTorch
5567,0312283709,Running with Scissors,Augusten Burroughs,2002,St. Martin's Press
5598,0312983271,Full House (Janet Evanovich's Full Series),Janet Evanovich,2002,St. Martin's Paperbacks
5711,0380731851,Mystic River,Dennis Lehane,2002,HarperTorch
5815,0446605484,Roses Are Red (Alex Cross Novels),James Patterson,2001,Warner Vision
5900,0446611212,Violets Are Blue,James Patterson,2002,Warner Vision
5992,0451188454,The Bone Collector (Lincoln Rhyme Novels (Paperback)),Jeff Deaver,2004,Signet Book
6034,0609804138,The Sweet Potato Queens' Book of Love,JILL CONNER BROWNE,1999,Three Rivers Press
6131,0671003755,She's Come Undone (Oprah's Book Club (Paperback)),Wally Lamb,1996,Washington Square Press
6338,0743407067,The First Time,Joy Fielding,2001,Pocket Star
6357,074343627X,Dreamcatcher,Stephen King,2001,Pocket
6451,0330262130,Restaurant At the End of the Universe,Douglas Adams,0,Pan Books Ltd
6485,0385720920,Choke,CHUCK PALAHNIUK,2002,Anchor
6526,0393319296,Invisible Monsters,Chuck Palahniuk,1999,W.W. Norton &amp; Company
6558,0553262505,"A Wizard of Earthsea (Earthsea Trilogy, Book 1)",URSULA K. LE GUIN,1984,Bantam
6593,0805062971,Fight Club,Chuck Palahniuk,1999,Owl Books
6643,3257228007,Das Parfum: Die Geschichte Eines Morders,Patrick Suskind,1994,Distribooks Inc
6673,1573229571,About a Boy (Movie Tie-In),Nick Hornby,2002,Riverhead Books
6729,0064407667,"The Bad Beginning (A Series of Unfortunate Events, Book 1)",Lemony Snicket,1999,HarperCollins
6842,081297106X,Reading Lolita in Tehran: A Memoir in Books,Azar Nafisi,2003,Random House Trade Paperbacks
6869,0425191184,Red Rabbit,Tom Clancy,2003,Berkley Publishing Group
6901,0385503822,The Summons,John Grisham,2002,Doubleday Books
7008,0425189864,Mortal Prey,John Sandford,2003,Berkley Publishing Group
